max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
1,2,5,0.8330000000000001,0.002535462764185552,0.000739447275797526,0.0005544785742287995,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0010454654693603516,0.0,3,1,2,1,2
1,3,5,0.8330000000000001,0.002535462764185552,0.0007509390513102213,0.0005692214324969218,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0,0.001123189926147461,3,1,2,1,2
1,4,5,0.8330000000000001,0.002535462764185552,0.0007496992746988932,0.0005677934751170645,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0011026859283447266,0.0,3,1,2,1,2
2,2,5,0.8330000000000001,0.002535462764185552,0.0009058952331542969,0.0004274308054126298,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0,0.0013380050659179688,3,1,2,1,2
3,2,5,0.8330000000000001,0.002535462764185552,0.0012444178263346353,0.0005998431934148719,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0014467239379882812,0.0,3,1,2,1,2
1,3,10,0.8330000000000001,0.002535462764185552,0.0013548533121744792,0.00048377736292277637,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0010759830474853516,0.0,3,1,2,1,2
1,4,10,0.8330000000000001,0.002535462764185552,0.0009558359781901042,0.0002837307519984684,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0011153221130371094,0.0009982585906982422,3,1,2,1,2
4,2,5,0.8330000000000001,0.002535462764185552,0.0011385758717854819,0.000211377339630549,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.0011467933654785156,0.0,3,1,2,1,2
2,2,10,0.8330000000000001,0.002535462764185552,0.0015206654866536458,0.0005074528957678327,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.001094818115234375,0.001256704330444336,3,1,2,1,2
1,2,10,0.8330000000000001,0.002535462764185552,0.0008611043294270833,0.00048343471315109615,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.8344988344988346,0.001127481460571289,0.0,3,1,2,1,2
