max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
4,3,20,0.9034013605442177,0.036561518162961944,0.001757224400838216,0.0005202603208129549,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9056603773584906,0.003193378448486328,0.0,5,2,3,2,5
3,3,20,0.9034013605442177,0.036561518162961944,0.0019903977711995444,0.00048769767436263685,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9056603773584906,0.002064228057861328,0.0,5,2,3,2,5
2,4,20,0.9034013605442177,0.036561518162961944,0.00169830322265625,0.0008335760850732572,6.466666666666667,0.915475416434127,2.0,0.0,3.7333333333333334,0.4577377082170635,2.0,0.0,7.2,1.3732131246511905,0.9056603773584906,0.001992940902709961,0.0,7,2,4,2,8
2,3,20,0.9034013605442177,0.036561518162961944,0.0019303957621256511,0.0006534368521357555,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9056603773584906,0.0025777816772460938,0.0,5,2,3,2,5
4,3,15,0.8952380952380953,0.037683461040001004,0.0014655590057373047,0.0004773156881404458,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.8773584905660378,0.0020520687103271484,0.0,5,2,3,2,5
2,4,15,0.8952380952380953,0.037683461040001004,0.0010816097259521485,0.0004165456216924232,6.466666666666667,0.915475416434127,2.0,0.0,3.7333333333333334,0.4577377082170635,2.0,0.0,7.2,1.3732131246511905,0.8773584905660378,0.0024259090423583984,0.0,7,2,4,2,8
2,3,15,0.8952380952380953,0.037683461040001004,0.0011814912160237631,0.0005267694648537235,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.8773584905660378,0.0011475086212158203,0.0,5,2,3,2,5
3,3,15,0.8952380952380953,0.037683461040001004,0.0016266345977783204,0.0005206566972494328,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.8773584905660378,0.001992940902709961,0.0,5,2,3,2,5
3,4,20,0.8952380952380953,0.037683461040001004,0.002492078145345052,0.0007111078109951219,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9056603773584906,0.002129077911376953,0.0009982585906982422,7,3,4,3,9
4,4,20,0.8952380952380953,0.037683461040001004,0.002657175064086914,0.0007623732117457473,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9056603773584906,0.002376556396484375,0.0,7,3,4,3,9
