max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
3,4,15,0.9555555555555556,0.03803850651038001,0.0003185907999674479,0.000556659313268743,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,7,3,4,3,9
4,4,15,0.9555555555555556,0.03803850651038001,0.000414880116780599,0.0005272914572747193,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,7,3,4,3,9
2,3,15,0.942857142857143,0.03688555567816587,0.00034322738647460935,0.0005028771122126245,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9555555555555556,0.0,0.0,5,2,3,2,5
3,3,15,0.942857142857143,0.03688555567816587,0.0003039836883544922,0.0005338444119984656,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9555555555555556,0.0,0.0,5,2,3,2,5
4,3,15,0.942857142857143,0.03688555567816587,0.00041486422220865884,0.0005272720416591643,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9555555555555556,0.001020669937133789,0.0,5,2,3,2,5
2,4,15,0.942857142857143,0.03688555567816587,0.00044337908426920575,0.0005741781353260332,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9555555555555556,0.0,0.0,5,2,3,2,5
4,4,10,0.9269841269841271,0.03970520894441865,0.0003966808319091797,0.000591714074471258,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.8888888888888888,0.0,0.0,7,3,4,3,9
3,4,10,0.9269841269841271,0.03970520894441865,0.0005336920420328776,0.0006058505674514986,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.8888888888888888,0.0010221004486083984,0.0,7,3,4,3,9
2,4,10,0.907936507936508,0.04576905260586929,0.00023940404256184896,0.0005058908771479881,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.8888888888888888,0.0009982585906982422,0.0,5,2,3,2,5
2,3,10,0.907936507936508,0.04576905260586929,0.000445397694905599,0.0005691233470191906,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.8888888888888888,0.0,0.0,5,2,3,2,5
