max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.6666666666666665,1.1491900087240784e-16,0.0003365516662597656,0.000492796642924928,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.6666666666666665,1.1491900087240784e-16,0.000402371088663737,0.000510237123129535,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.6666666666666665,1.1491900087240784e-16,0.0001663366953531901,0.0003608990840372224,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.6666666666666665,1.1491900087240784e-16,0.0004992961883544921,0.0005661596450312404,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.8158730158730161,0.059330752683711706,0.00026642481486002605,0.0004573284474551598,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.8158730158730161,0.059330752683711706,0.00043547948201497395,0.0004978741924631031,5.133333333333334,0.5163977794943222,2.0,0.0,3.066666666666667,0.2581988897471611,2.0,0.0,5.2,0.7745966692414836
3,2,5,0.6666666666666665,1.1491900087240784e-16,0.0004321734110514323,0.0004936762058893733,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.8158730158730161,0.059330752683711706,0.0004321734110514323,0.0004936762058893733,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.8666666666666668,0.05459157183058197,0.00036568641662597655,0.0004790705014394907,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,5,0.6666666666666665,1.1491900087240784e-16,0.00036640167236328124,0.00048008556665165913,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.8158730158730161,0.059330752683711706,0.00036574999491373696,0.00047916021433884,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.8666666666666668,0.05459157183058197,0.0003990014394124349,0.0005058292342585411,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,10,0.6380952380952379,0.053391610531560774,0.0005226294199625651,0.0005838515753316783,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.6380952380952379,0.053391610531560774,0.0004511197408040365,0.0005773261594408752,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.6380952380952379,0.053391610531560774,0.0003120899200439453,0.0005458341521799429,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.6380952380952379,0.053391610531560774,0.00017828941345214843,0.0004746130452820836,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.907936507936508,0.04576905260586929,0.000445397694905599,0.0005691233470191906,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.907936507936508,0.04576905260586929,0.00023940404256184896,0.0005058908771479881,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,2,10,0.6380952380952379,0.053391610531560774,0.0004907290140787761,0.0005451044540969798,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.907936507936508,0.04576905260586929,0.00034612019856770834,0.0005076006216642355,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.9269841269841271,0.03970520894441865,0.0005336920420328776,0.0006058505674514986,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,10,0.6380952380952379,0.053391610531560774,0.0002838611602783203,0.0004888315411442331,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.907936507936508,0.04576905260586929,0.0003722826639811198,0.0005574264027628708,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.9269841269841271,0.03970520894441865,0.0003966808319091797,0.000591714074471258,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,15,0.6539682539682539,0.05822853745575313,0.0002670764923095703,0.00045845217492465227,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,15,0.6539682539682539,0.05822853745575313,0.00030682881673177085,0.0005380962417038501,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,15,0.6539682539682539,0.05822853745575313,0.0003864129384358724,0.0005768047453103531,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,15,0.6539682539682539,0.05822853745575313,0.00035367012023925783,0.0005200890605069054,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,15,0.942857142857143,0.03688555567816587,0.00034322738647460935,0.0005028771122126245,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,15,0.942857142857143,0.03688555567816587,0.00044337908426920575,0.0005741781353260332,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,2,15,0.6539682539682539,0.05822853745575313,0.0004812876383463542,0.0005339913764042865,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,15,0.942857142857143,0.03688555567816587,0.0003039836883544922,0.0005338444119984656,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,15,0.9555555555555556,0.03803850651038001,0.0003185907999674479,0.000556659313268743,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,15,0.6539682539682539,0.05822853745575313,0.0005859692891438802,0.0005802138288319067,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,15,0.942857142857143,0.03688555567816587,0.00041486422220865884,0.0005272720416591643,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,15,0.9555555555555556,0.03803850651038001,0.000414880116780599,0.0005272914572747193,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,20,0.6380952380952379,0.053391610531560774,0.00028940836588541664,0.0005035147344057626,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,20,0.6380952380952379,0.053391610531560774,0.0003475030263264974,0.000511393345722248,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,20,0.6380952380952379,0.053391610531560774,0.00041343371073404946,0.0005268988755875661,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,20,0.6380952380952379,0.053391610531560774,0.00028055508931477865,0.00048429449226924427,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,20,0.907936507936508,0.04918074090422118,0.0002993106842041016,0.0004538477123397439,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,20,0.907936507936508,0.04918074090422118,0.00046571095784505207,0.0005153435071489848,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,2,20,0.6380952380952379,0.053391610531560774,0.0003323554992675781,0.0004865187257706714,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,20,0.907936507936508,0.04918074090422118,0.00023277600606282553,0.00041564729469227086,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,20,0.907936507936508,0.055377102441232326,0.00023490587870279948,0.00041988312738789664,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,20,0.6380952380952379,0.053391610531560774,0.00037317276000976564,0.0004899710646452006,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,20,0.907936507936508,0.04918074090422118,0.00040079752604166665,0.0005081483384753765,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,20,0.907936507936508,0.055377102441232326,0.00023490587870279948,0.0004198831273878966,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
