max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
4,4,5,0.9665835591354139,0.0037395321693320443,0.006578524907430013,0.0012246540129853796,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.006939411163330078,0.0,7,3,4,3,9
3,4,5,0.9665835591354139,0.0037395321693320443,0.005711952845255534,0.001003309839187145,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.006238460540771484,0.0009968280792236328,7,3,4,3,9
3,4,20,0.9665835591354139,0.0037395321693320443,0.006898053487141927,0.0009354773366181881,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.007300853729248047,0.0,7,3,4,3,9
4,4,20,0.9665835591354139,0.0037395321693320443,0.007818094889322917,0.0015131094410136448,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.007272958755493164,0.0010120868682861328,7,3,4,3,9
3,4,15,0.9665835591354139,0.0037395321693320443,0.005414613087972005,0.0005134927213688011,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.005513429641723633,0.0010173320770263672,7,3,4,3,9
4,4,15,0.9665835591354139,0.0037395321693320443,0.007052103678385417,0.0015923324288774619,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.00724339485168457,0.0,7,3,4,3,9
3,4,10,0.9665835591354139,0.0037395321693320443,0.006012582778930664,0.000722133374183376,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.00564885139465332,0.0014925003051757812,7,3,4,3,9
4,4,10,0.9665835591354139,0.0037395321693320443,0.0071561177571614586,0.001796636848089528,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.9745693191140279,0.007182121276855469,0.0013115406036376953,7,3,4,3,9
2,4,15,0.9535694761958493,0.004870635829498441,0.005923573176066081,0.0010799604451706911,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.955701394585726,0.006194353103637695,0.0,7,2,4,2,8
2,4,10,0.9535694761958493,0.004870635829498441,0.00500030517578125,0.000986361500843096,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.955701394585726,0.005502462387084961,0.0,7,2,4,2,8
