max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.8835730467798022,0.007145307792853928,0.004440116882324219,0.0010991846791308293,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.8835730467798022,0.007145307792853928,0.004595518112182617,0.000893843317897096,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.8835730467798022,0.007145307792853928,0.00450587272644043,0.0009909618237965102,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.8835730467798022,0.007145307792853928,0.0049833138783772785,0.0006133974026236897,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.9435444821081799,0.005183917659398198,0.0049169063568115234,0.0003262781058936164,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.9535694761958493,0.004870635829498441,0.004901854197184244,0.0003937409734720427,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.8835730467798022,0.007145307792853928,0.0055715719858805334,0.0010336656238133905,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.9435444821081799,0.005183917659398198,0.0058301766713460285,0.0005940045454088641,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.9665835591354139,0.0037395321693320443,0.005711952845255534,0.001003309839187145,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,5,0.8835730467798022,0.007145307792853928,0.00547337532043457,0.00093595583610968,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.9435444821081799,0.005183917659398198,0.005810292561848959,0.0006765577063457184,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.9665835591354139,0.0037395321693320443,0.006578524907430013,0.0012246540129853796,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,10,0.8835730467798022,0.007145307792853928,0.0033207257588704427,0.0005494797689532866,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.8835730467798022,0.007145307792853928,0.004242897033691406,0.0007418304122280666,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.8835730467798022,0.007145307792853928,0.0034804662068684896,0.00047393179262367923,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.8835730467798022,0.007145307792853928,0.005570427576700846,0.0009899368782997093,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.9435444821081799,0.005183917659398198,0.005141623814900716,0.0009357697744633256,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.9535694761958493,0.004870635829498441,0.00500030517578125,0.000986361500843096,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,10,0.8835730467798022,0.007145307792853928,0.005842320124308268,0.0009670070299243347,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.9435444821081799,0.005183917659398198,0.005681435267130534,0.0006597226392222352,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.9665835591354139,0.0037395321693320443,0.006012582778930664,0.000722133374183376,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,10,0.8835730467798022,0.007145307792853928,0.004702568054199219,0.0006334851381119158,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.9435444821081799,0.005183917659398198,0.006217479705810547,0.0015541650950894415,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.9665835591354139,0.0037395321693320443,0.0071561177571614586,0.001796636848089528,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,15,0.8835730467798022,0.007145307792853928,0.004379653930664062,0.0010025567054046595,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,15,0.8835730467798022,0.007145307792853928,0.0033544381459554035,0.0006698398476110721,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,15,0.8835730467798022,0.007145307792853928,0.0032880306243896484,0.0004495547524390366,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,15,0.8835730467798022,0.007145307792853928,0.005002419153849284,0.0009766246416303783,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,15,0.9435444821081799,0.005183917659398198,0.006113306681315104,0.0013151766815541258,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,15,0.9535694761958493,0.004870635829498441,0.005923573176066081,0.0010799604451706911,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,15,0.8835730467798022,0.007145307792853928,0.005341339111328125,0.0009137575847368585,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,15,0.9435444821081799,0.005183917659398198,0.005953232447306315,0.0009663923347064574,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,15,0.9665835591354139,0.0037395321693320443,0.005414613087972005,0.0005134927213688011,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,15,0.8835730467798022,0.007145307792853928,0.004892237981160482,0.000779156809023443,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,15,0.9435444821081799,0.005183917659398198,0.005695215861002604,0.00062062369774659,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,15,0.9665835591354139,0.0037395321693320443,0.007052103678385417,0.0015923324288774619,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,20,0.8835730467798022,0.007145307792853928,0.0051218191782633465,0.0014463326909903123,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,20,0.8835730467798022,0.007145307792853928,0.005390199025472006,0.0013517185891567243,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,20,0.8835730467798022,0.007145307792853928,0.00469353993733724,0.0009674321253616652,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,20,0.8835730467798022,0.007145307792853928,0.006513039271036784,0.0010650623054005277,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,20,0.9435444821081799,0.005183917659398198,0.0060871283213297525,0.0004064118100787759,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,20,0.9535694761958493,0.004870635829498441,0.006518061955769857,0.0015002875061301798,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,20,0.8835730467798022,0.007145307792853928,0.006159241994222005,0.00125948424832176,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,20,0.9435444821081799,0.005183917659398198,0.006876436869303385,0.0009729279851907861,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,20,0.9665835591354139,0.0037395321693320443,0.006898053487141927,0.0009354773366181881,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,20,0.8835730467798022,0.007145307792853928,0.006209929784138997,0.0008406123726846785,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,20,0.9435444821081799,0.005183917659398198,0.007077932357788086,0.0015638949119457211,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,20,0.9665835591354139,0.0037395321693320443,0.007818094889322917,0.0015131094410136448,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
