max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
2,4,5,0.83342151675485,0.035921777187944294,0.0004386742909749349,0.0005664237996953487,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.8135593220338984,0.0009963512420654297,0.0,7,2,4,2,8
3,4,5,0.8164902998236331,0.08094062642632242,0.0006040414174397786,0.0006003608541987895,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099,0.8135593220338984,0.0,0.0013446807861328125,7,2,4,2,8
4,4,5,0.8164902998236331,0.08094062642632242,0.00044148763020833334,0.0005684609398650416,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099,0.8135593220338984,0.0,0.0,7,2,4,2,8
2,4,15,0.8164021164021164,0.04294709818824032,0.0007054487864176433,0.0005319708816458578,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.847457627118644,0.0012993812561035156,0.0,7,2,4,2,8
3,4,15,0.8138447971781305,0.046698037365699115,0.0007502873738606771,0.0005736295482893859,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666,0.8305084745762712,0.0013554096221923828,0.0,7,3,4,3,9
4,4,15,0.8138447971781305,0.046698037365699115,0.000780169169108073,0.0005041388456966208,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666,0.8305084745762712,0.0011162757873535156,0.0,7,3,4,3,9
2,4,10,0.8136684303350971,0.04307978369870401,0.0006431738535563151,0.0005533917512543847,6.466666666666667,0.915475416434127,2.0,0.0,3.7333333333333334,0.4577377082170635,2.0,0.0,7.2,1.3732131246511905,0.8135593220338984,0.0011432170867919922,0.0,7,2,4,2,8
2,3,15,0.8090828924162258,0.055057667708260705,0.0007979551951090495,0.0005210453142675819,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.847457627118644,0.0012421607971191406,0.0,5,2,3,2,5
4,3,15,0.8090828924162258,0.055057667708260705,0.0007548173268636068,0.0006996341537384045,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.847457627118644,0.0,0.001291036605834961,5,2,3,2,5
3,3,15,0.8090828924162258,0.055057667708260705,0.000391991933186849,0.0005890249912976867,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.847457627118644,0.0012912750244140625,0.0,5,2,3,2,5
