max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.7896825396825395,0.07228601282185829,0.00027181307474772134,0.0004670384762362646,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.7896825396825395,0.07228601282185829,0.000437768300374349,0.0005608064006264182,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.7896825396825395,0.07228601282185829,0.00038504600524902344,0.0005754480793632407,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.7896825396825395,0.07228601282185829,0.0005178769429524739,0.0005868732070464627,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.8062610229276894,0.053447914935007695,0.0007492701212565104,0.0005667686303842515,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.83342151675485,0.035921777187944294,0.0004386742909749349,0.0005664237996953487,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.7896825396825395,0.07228601282185829,0.00036182403564453123,0.0005402190632319316,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.8062610229276894,0.053447914935007695,0.0003722349802652995,0.0005546334160866637,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.8164902998236331,0.08094062642632242,0.0006040414174397786,0.0006003608541987895,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099
4,2,5,0.7896825396825395,0.07228601282185829,0.0002959887186686198,0.0005126639565921056,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.8062610229276894,0.053447914935007695,0.00020880699157714843,0.00043338600700584953,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.8164902998236331,0.08094062642632242,0.00044148763020833334,0.0005684609398650416,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099
1,2,10,0.7817460317460317,0.0387294204192997,0.00038269360860188805,0.000572633531895453,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.7817460317460317,0.0387294204192997,0.0005410989125569661,0.0006142148146529252,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.7817460317460317,0.0387294204192997,0.0007432937622070312,0.0005644591585744291,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.7817460317460317,0.0387294204192997,0.0006011644999186198,0.0006004972485411597,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.806084656084656,0.046228219032662644,0.0007210731506347656,0.0005424988823783429,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.8136684303350971,0.04307978369870401,0.0006431738535563151,0.0005533917512543847,6.466666666666667,0.915475416434127,2.0,0.0,3.7333333333333334,0.4577377082170635,2.0,0.0,7.2,1.3732131246511905
3,2,10,0.7817460317460317,0.0387294204192997,0.0005092938741048177,0.0005722911722852045,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.806084656084656,0.046228219032662644,0.0006758371988932291,0.0005899588657614379,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.7839506172839508,0.09846620686821649,0.0006145636240641276,0.0006109618967270782,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
4,2,10,0.7817460317460317,0.0387294204192997,0.0006451288859049479,0.0005595114559755514,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.806084656084656,0.046228219032662644,0.000720071792602539,0.0005419383408000742,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.7839506172839508,0.09846620686821649,0.0005398114522298177,0.0005235873689430271,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
1,2,15,0.799647266313933,0.08393534523629981,0.0006018002827962239,0.0005997741607850072,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,15,0.799647266313933,0.08393534523629981,0.0008310476938883463,0.00044186653216995623,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,15,0.799647266313933,0.08393534523629981,0.0005279382069905599,0.0006012111383526933,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,15,0.799647266313933,0.08393534523629981,0.000634463628133138,0.0005509040338487793,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,15,0.8090828924162258,0.055057667708260705,0.0007979551951090495,0.0005210453142675819,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,15,0.8164021164021164,0.04294709818824032,0.0007054487864176433,0.0005319708816458578,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,15,0.799647266313933,0.08393534523629981,0.0007697741190592448,0.0005900841506958909,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,15,0.8090828924162258,0.055057667708260705,0.000391991933186849,0.0005890249912976867,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,15,0.8138447971781305,0.046698037365699115,0.0007502873738606771,0.0005736295482893859,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
4,2,15,0.799647266313933,0.08393534523629981,0.0005769570668538412,0.0006550571207610099,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,15,0.8090828924162258,0.055057667708260705,0.0007548173268636068,0.0006996341537384045,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,15,0.8138447971781305,0.046698037365699115,0.000780169169108073,0.0005041388456966208,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
1,2,20,0.7502645502645502,0.06629459815803965,0.0008227189381917317,0.000428941059794027,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,20,0.7502645502645502,0.06629459815803965,0.0007217089335123698,0.0005436576620768342,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,20,0.7502645502645502,0.06629459815803965,0.0009092013041178385,0.0004207506439386375,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,20,0.7502645502645502,0.06629459815803965,0.0010180473327636719,0.0005059736910000181,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,20,0.7890652557319224,0.04132669333853356,0.0005110422770182292,0.0005792403780914835,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,20,0.7965608465608465,0.048110444317297135,0.0010131359100341796,0.00019174778994501576,6.733333333333333,0.7037315505489967,2.0,0.0,3.8666666666666667,0.35186577527449836,2.0,0.0,7.6,1.0555973258234952
3,2,20,0.7502645502645502,0.06629459815803965,0.0006856282552083333,0.0005389442918813864,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,20,0.7890652557319224,0.04132669333853356,0.0008026440938313802,0.0005187325111103551,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,20,0.7744268077601411,0.04836607160616556,0.001108249028523763,0.00017635106359749608,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344
4,2,20,0.7502645502645502,0.06629459815803965,0.0008939901987711588,0.0007391659680104045,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,20,0.7890652557319224,0.04132669333853356,0.0007076740264892578,0.0005330960919996082,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,20,0.7744268077601411,0.04836607160616556,0.0013378779093424478,0.0005914697266912499,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344
