max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.7151667243567555,0.0584306969134055,0.0006307601928710937,0.0005401705232285842,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.7151667243567555,0.0584306969134055,0.00040435791015625,0.0005130251518138124,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.7151667243567555,0.0584306969134055,0.0006698767344156901,0.0005175794730772115,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.7151667243567555,0.0584306969134055,0.0007208029429117839,0.000537690906887255,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.7343313718703127,0.023462980319503956,0.0006433963775634765,0.0005530818159125642,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.7331256490134994,0.025995851143770895,0.00029924710591634117,0.0004537802172559198,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.7151667243567555,0.0584306969134055,0.0005985260009765625,0.0005292232375918882,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.7343313718703127,0.023462980319503956,0.0005945682525634766,0.00052451598332342,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.7337544709818852,0.028872617818803084,0.000540002187093099,0.0005504529626982522,7.0,0.0,2.533333333333333,0.5163977794943223,4.0,0.0,2.533333333333333,0.5163977794943223,8.533333333333333,0.5163977794943223
4,2,5,0.7151667243567555,0.0584306969134055,0.0006629467010498047,0.0005998387390485985,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.7343313718703127,0.023462980319503956,0.0005421161651611329,0.0005526437397521736,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.7337544709818852,0.028872617818803084,0.0005107243855794271,0.0005397643394700579,7.0,0.0,2.533333333333333,0.5163977794943223,4.0,0.0,2.533333333333333,0.5163977794943223,8.533333333333333,0.5163977794943223
1,2,10,0.7380812276450908,0.0375317357917793,0.000586843490600586,0.0005184060119007558,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.7380812276450908,0.0375317357917793,0.0005183855692545573,0.0005239240504124275,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.7380812276450908,0.0375317357917793,0.0004854679107666016,0.0005413273770860409,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.7380812276450908,0.0375317357917793,0.0005852540334065755,0.0005170171419355787,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.7418195454020999,0.03310721991692994,0.0006979624430338542,0.0004536007465803842,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.7381043036806275,0.028032038449593448,0.000699933369954427,0.00045505178306545665,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,10,0.7380812276450908,0.0375317357917793,0.0005970478057861328,0.0005371872642049605,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.7418195454020999,0.03310721991692994,0.0008043766021728516,0.0004578462346019423,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.7480269989615784,0.030153014321477753,0.0004305839538574219,0.0005582602903810917,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541256
4,2,10,0.7380812276450908,0.0375317357917793,0.0008300145467122396,0.0005537116334125428,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.7418195454020999,0.03310721991692994,0.0005834102630615234,0.0006915943786306876,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.7480269989615784,0.030153014321477753,0.0009744167327880859,0.0004321175722589177,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541256
1,2,15,0.7331487250490366,0.030788105706435562,0.0006506919860839843,0.0004999533100648526,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,15,0.7331487250490366,0.030788105706435562,0.0008878072102864583,0.00036809828281173375,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,15,0.7331487250490366,0.030788105706435562,0.0005980173746744792,0.0005054169455672296,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,15,0.7331487250490366,0.030788105706435562,0.0009212811787923177,0.0002977503871883361,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,15,0.7331487250490366,0.030788105706435562,0.0007026990254720052,0.0005296385475527554,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,15,0.7368755047882772,0.025707898625015102,0.00041791598002115883,0.0005344461290730796,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,15,0.7331487250490366,0.030788105706435562,0.0007345994313557942,0.0004900210032910436,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,15,0.7331487250490366,0.030788105706435562,0.001095136006673177,0.0004631721149582905,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,15,0.7375158647744318,0.03640577187141795,0.0012850125630696615,0.0005944475149092062,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099
4,2,15,0.7331487250490366,0.030788105706435562,0.0005033969879150391,0.0005038223949592331,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,15,0.7331487250490366,0.030788105706435562,0.0012204647064208984,0.0005637180731150813,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,15,0.7375158647744318,0.03640577187141795,0.0010192076365152995,0.0003266684046407366,7.0,0.0,2.6,0.5070925528371101,4.0,0.0,2.6,0.5070925528371101,8.6,0.5070925528371099
1,2,20,0.7300449982692974,0.04958958029300992,0.0006436665852864583,0.000553115978018502,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,20,0.7300449982692974,0.04958958029300992,0.0006687482198079427,0.0005842638648961069,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,20,0.7300449982692974,0.04958958029300992,0.0004520257314046224,0.0005842823220332357,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,20,0.7300449982692974,0.04958958029300992,0.0009728908538818359,0.0004368724559271681,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,20,0.7362755278643129,0.04640747770766999,0.001029507319132487,0.00034420278687088984,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,20,0.727593169493481,0.0423991683795622,0.0008664131164550781,0.0004746848475647164,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,20,0.7300449982692974,0.04958958029300992,0.0009094715118408203,0.0003914935412843911,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,20,0.7362755278643129,0.04640747770766999,0.0012090206146240234,0.0004844839678392281,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,20,0.7362524518287757,0.031605873143262804,0.0013279120127360027,0.0004960972723849628,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541245
4,2,20,0.7300449982692974,0.04958958029300992,0.0009042104085286458,0.00038952489508692714,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,20,0.7362755278643129,0.04640747770766999,0.0011566162109375,0.00047808729532147407,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,20,0.7362524518287757,0.031605873143262804,0.0015740394592285156,0.0005583103556791564,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541245
