max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
3,4,10,0.7795054945054946,0.028528611129375638,0.0005846818288167318,0.0005152723732078619,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7422222222222222,0.0,0.0,7,3,4,3,9
4,4,10,0.7795054945054946,0.028528611129375638,0.0004359881083170573,0.0005595753612206304,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7422222222222222,0.0,0.0009965896606445312,7,3,4,3,9
3,4,20,0.7763003663003663,0.02316550407452349,0.0007132848103841145,0.0005391114989992563,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7422222222222222,0.0009965896606445312,0.0,7,3,4,3,9
4,4,20,0.7763003663003663,0.02316550407452349,0.0006398677825927735,0.0005507739599497586,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7422222222222222,0.0,0.001003265380859375,7,3,4,3,9
4,4,5,0.773760683760684,0.036215155490007644,0.000405422846476237,0.0005143129193802348,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7333333333333333,0.0,0.0,7,3,4,3,9
3,4,5,0.773760683760684,0.036215155490007644,0.000333706537882487,0.0004885263563769867,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7333333333333333,0.0,0.0,7,3,4,3,9
3,4,15,0.7661111111111113,0.02423055531399718,0.0006392319997151692,0.00048619262327246986,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7377777777777778,0.0,0.0,7,3,4,3,9
4,4,15,0.7661111111111113,0.02423055531399718,0.0007222970326741536,0.0004754989004269083,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0,0.7377777777777778,0.0,0.0014772415161132812,7,3,4,3,9
1,4,10,0.762912087912088,0.0033965771622321834,0.00033243497212727863,0.0004866352039427329,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.76,0.0011935234069824219,0.0,3,1,2,1,2
1,3,10,0.762912087912088,0.0033965771622321834,0.0002993106842041016,0.0004538848646786762,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.76,0.0,0.0,3,1,2,1,2
