max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.762912087912088,0.0033965771622321834,0.00042169888814290365,0.0005385390525206078,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.762912087912088,0.0033965771622321834,0.0003371556599934896,0.0004938630165755412,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.762912087912088,0.0033965771622321834,0.0002707163492838542,0.0004650051855096994,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.762912087912088,0.0033965771622321834,0.00046661694844563805,0.0005163729690307571,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.7463553113553113,0.024485904506403793,0.0005665302276611328,0.0005625489004711519,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.7463553113553113,0.024485904506403793,0.00029923121134440103,0.00045371670811024574,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.762912087912088,0.0033965771622321834,0.0003322283426920573,0.00048633250081234365,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.7463553113553113,0.024485904506403793,0.0006329695383707683,0.0005495608378403408,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.773760683760684,0.036215155490007644,0.000333706537882487,0.0004885263563769867,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,5,0.762912087912088,0.0033965771622321834,0.0005905946095784505,0.000523100684914784,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.7463553113553113,0.024485904506403793,0.0004001776377360026,0.0005073475967383594,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.773760683760684,0.036215155490007644,0.000405422846476237,0.0005143129193802348,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,10,0.762912087912088,0.0033965771622321834,0.0004135449727376302,0.0005270882794278275,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.762912087912088,0.0033965771622321834,0.0002993106842041016,0.0004538848646786762,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.762912087912088,0.0033965771622321834,0.00033243497212727863,0.0004866352039427329,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.762912087912088,0.0033965771622321834,0.0002993265787760417,0.00045391114650412674,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.7495421245421245,0.02613612427210075,0.0004203955332438151,0.0005387624881218108,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.7495421245421245,0.02613612427210075,0.00045379002888997394,0.0005261898941007697,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,10,0.762912087912088,0.0033965771622321834,0.0005532582600911458,0.0005417684362973994,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.7495421245421245,0.02613612427210075,0.0002994378407796224,0.0004540944341020176,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.7795054945054946,0.028528611129375638,0.0005846818288167318,0.0005152723732078619,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
4,2,10,0.762912087912088,0.0033965771622321834,0.0005731423695882162,0.0005293154070765758,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.7495421245421245,0.02613612427210075,0.0005906422932942709,0.0005237933915496337,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.7795054945054946,0.028528611129375638,0.0004359881083170573,0.0005595753612206304,7.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,9.0,0.0
1,2,15,0.762912087912088,0.0033965771622321834,0.0006112098693847656,0.0005188814728990232,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
