max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
3,4,10,0.9488185654008439,0.022779069457981478,0.0013696988423665365,0.00042149002970612266,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344,0.9239766081871345,0.0010716915130615234,0.0,7,3,4,3,9
4,4,10,0.9488185654008439,0.022779069457981478,0.001764980951944987,0.0006012180822010622,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344,0.9239766081871345,0.002375364303588867,0.0,7,3,4,3,9
3,3,15,0.947204641350211,0.015961828792685408,0.0022377808888753253,0.0005697042644603408,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9122807017543859,0.002989530563354492,0.0,5,2,3,2,5
2,3,15,0.947204641350211,0.015961828792685408,0.0019473870595296224,0.000759003715548163,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9122807017543859,0.0025153160095214844,0.0,5,2,3,2,5
4,3,15,0.947204641350211,0.015961828792685408,0.00201571782430013,0.00046591264078105595,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9122807017543859,0.0030264854431152344,0.0,5,2,3,2,5
2,4,10,0.9462869198312235,0.026943098896150416,0.0011630058288574219,0.0002940800428874773,6.333333333333333,0.9759000729485332,2.0,0.0,3.6666666666666665,0.4879500364742666,2.0,0.0,7.0,1.4638501094227998,0.9239766081871345,0.0009963512420654297,0.0,5,2,3,2,5
3,3,10,0.9437552742616033,0.0314491455212269,0.001426378885904948,0.0004891337275933562,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9239766081871345,0.0009965896606445312,0.0009968280792236328,5,2,3,2,5
4,3,10,0.9437552742616033,0.0314491455212269,0.001307217280069987,0.00047621687383463877,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9239766081871345,0.0009968280792236328,0.0009961128234863281,5,2,3,2,5
2,3,10,0.9437552742616033,0.0314491455212269,0.0012811501820882162,0.0004095996382268474,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.9239766081871345,0.0010793209075927734,0.0009989738464355469,5,2,3,2,5
4,4,15,0.9413713080168776,0.015447153697154914,0.0022077560424804688,0.0005492046583489081,7.0,0.0,2.2,0.4140393356054125,4.0,0.0,2.2,0.4140393356054125,8.2,0.4140393356054125,0.9122807017543859,0.0021140575408935547,0.0009982585906982422,7,2,4,2,8
