max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
1,2,5,0.9069620253164554,0.03089219648172595,0.0005538145701090495,0.0005426059207830546,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,5,0.9069620253164554,0.03089219648172595,0.0005653540293375652,0.0005617800868285793,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,5,0.9069620253164554,0.03089219648172595,0.0006315867106119792,0.0004790269050090761,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,5,0.9069620253164554,0.03089219648172595,0.0006745020548502604,0.0006582578786208447,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,5,0.9228902953586497,0.025264814154630402,0.0006238301595052083,0.0005333679008650128,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,5,0.9287869198312234,0.020625399633655405,0.00046358108520507815,0.000541740518336446,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,5,0.9069620253164554,0.03089219648172595,0.0006014664967854817,0.0006098648619460476,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,5,0.9228902953586497,0.025264814154630402,0.0008533477783203125,0.000481340609963859,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,5,0.9363502109704641,0.02439096276093102,0.000598001480102539,0.0006071307278520252,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
4,2,5,0.9069620253164554,0.03089219648172595,0.0006813208262125651,0.0005152867221272583,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,5,0.9228902953586497,0.025264814154630402,0.0005482832590738932,0.0005464103671351728,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,5,0.9363502109704641,0.02439096276093102,0.0009569644927978516,0.00043631220864516983,7.0,0.0,2.6666666666666665,0.4879500364742666,4.0,0.0,2.6666666666666665,0.4879500364742666,8.666666666666666,0.48795003647426666
1,2,10,0.8977320675105483,0.027182293468924715,0.0004826068878173828,0.0006288935896751252,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,10,0.8977320675105483,0.027182293468924715,0.0008812427520751953,0.000488515306777913,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,10,0.8977320675105483,0.027182293468924715,0.0007826805114746094,0.0005082019562413479,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,10,0.8977320675105483,0.027182293468924715,0.0011642932891845702,0.0003088129907148252,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,10,0.9437552742616033,0.0314491455212269,0.0012811501820882162,0.0004095996382268474,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,10,0.9462869198312235,0.026943098896150416,0.0011630058288574219,0.0002940800428874773,6.333333333333333,0.9759000729485332,2.0,0.0,3.6666666666666665,0.4879500364742666,2.0,0.0,7.0,1.4638501094227998
3,2,10,0.8977320675105483,0.027182293468924715,0.0009964783986409506,0.00031227252323501396,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,10,0.9437552742616033,0.0314491455212269,0.001426378885904948,0.0004891337275933562,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,10,0.9488185654008439,0.022779069457981478,0.0013696988423665365,0.00042149002970612266,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344
4,2,10,0.8977320675105483,0.027182293468924715,0.0012192726135253906,0.0003557110803996015,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,10,0.9437552742616033,0.0314491455212269,0.001307217280069987,0.00047621687383463877,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,10,0.9488185654008439,0.022779069457981478,0.001764980951944987,0.0006012180822010622,7.0,0.0,2.7333333333333334,0.4577377082170635,4.0,0.0,2.7333333333333334,0.4577377082170635,8.733333333333333,0.45773770821706344
1,2,15,0.9162025316455694,0.02014034254443374,0.0010676860809326171,0.00042594614896883924,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,15,0.9162025316455694,0.02014034254443374,0.0013001283009847005,0.0004772407311188837,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,15,0.9162025316455694,0.02014034254443374,0.001012102762858073,3.542496051180449e-05,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,15,0.9162025316455694,0.02014034254443374,0.0022423267364501953,0.0008316675608865664,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,15,0.947204641350211,0.015961828792685408,0.0019473870595296224,0.000759003715548163,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,15,0.9413713080168776,0.015447153697154914,0.002010377248128255,0.0005375028355228286,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0
3,2,15,0.9162025316455694,0.02014034254443374,0.0020710627237955728,0.0005318335621498419,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,15,0.947204641350211,0.015961828792685408,0.0022377808888753253,0.0005697042644603408,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,15,0.9413713080168776,0.015447153697154914,0.0022786935170491535,0.0003816822842068893,7.0,0.0,2.2,0.4140393356054125,4.0,0.0,2.2,0.4140393356054125,8.2,0.4140393356054125
4,2,15,0.9162025316455694,0.02014034254443374,0.0019399166107177735,0.0005381259201372381,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,15,0.947204641350211,0.015961828792685408,0.00201571782430013,0.00046591264078105595,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,15,0.9413713080168776,0.015447153697154914,0.0022077560424804688,0.0005492046583489081,7.0,0.0,2.2,0.4140393356054125,4.0,0.0,2.2,0.4140393356054125,8.2,0.4140393356054125
1,2,20,0.9011286919831222,0.025702503221278476,0.0014626026153564454,0.0005134292702586988,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,3,20,0.9011286919831222,0.025702503221278476,0.0012389818827311199,0.0005555556820752047,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
1,4,20,0.9011286919831222,0.025702503221278476,0.0019391218821207682,0.0003822315271465473,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,2,20,0.9011286919831222,0.025702503221278476,0.0021887302398681642,0.000404914555312613,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
2,3,20,0.9396413502109705,0.022047826656100077,0.0019568602244059243,0.00033964080967967616,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
2,4,20,0.9396624472573839,0.022899321281680866,0.002325153350830078,0.00058823022462079,6.6,0.828078671210825,2.0,0.0,3.8,0.4140393356054125,2.0,0.0,7.4,1.2421180068162376
3,2,20,0.9011286919831222,0.025702503221278476,0.0021271387736002604,0.00035430218902965794,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
3,3,20,0.9396413502109705,0.022047826656100077,0.0032929102579752605,0.0007657162066656869,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
3,4,20,0.9396624472573839,0.022899321281680866,0.0026224136352539064,0.0005544718617727693,7.0,0.0,2.3333333333333335,0.4879500364742666,4.0,0.0,2.3333333333333335,0.4879500364742666,8.333333333333334,0.48795003647426666
4,2,20,0.9011286919831222,0.025702503221278476,0.0024660269419352213,0.0006915612279076121,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
4,3,20,0.9396413502109705,0.022047826656100077,0.0030695438385009766,0.0005529547484200224,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
4,4,20,0.9396624472573839,0.022899321281680866,0.004044262568155924,0.0006590832256461528,7.0,0.0,2.3333333333333335,0.4879500364742666,4.0,0.0,2.3333333333333335,0.4879500364742666,8.333333333333334,0.48795003647426666
