number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,3,10,5,20,0.8110000000000002,0.014904457626591316,0.6841547966003418,0.20295740950885316,0.9333333333333333,0.25819888974716115,1.9333333333333333,0.5936168397046636,1.9333333333333333,0.5936168397046636,0.8344988344988346,0.24352741241455078,0.0242917537689209,0,0,0
32,1,2,5,2,10,0.8096666666666665,0.02175075258687011,0.3239592552185059,0.17893099160795486,0.8666666666666667,0.3518657752744984,1.6,0.7367883976130073,1.6,0.7367883976130073,0.8321678321678322,0.15991520881652832,0.018507003784179688,1,2,2
16,1,1,10,5,20,0.8069999999999999,0.042920191718384196,0.16984031995137533,0.05869478101491559,1.0,0.0,1.0,0.0,1.0,0.0,0.5524475524475524,0.07726073265075684,0.022870302200317383,1,1,1
32,1,1,10,5,10,0.8066666666666668,0.039671268240497694,0.11952678362528484,0.038596417068073055,0.8666666666666667,0.3518657752744984,0.8666666666666667,0.3518657752744984,0.8666666666666667,0.3518657752744984,0.7645687645687645,0.06833744049072266,0.018497228622436523,1,1,1
32,2,4,5,2,10,0.8000000000000002,0.03540581066112492,1.1456260681152344,0.47793341357406616,1.2,0.8618916073713346,1.7333333333333334,1.1629191512658792,2.533333333333333,1.9223002094465098,0.7762237762237763,0.8792634010314941,0.018623828887939453,1,2,2
32,2,4,2,1,15,0.798,0.03363671463488327,0.8065471013387044,0.2991848152968508,1.3333333333333333,0.8997354108424372,1.8,1.2071217242444348,2.933333333333333,2.086236073022646,0.8344988344988346,0.3005962371826172,0.019700288772583008,0,0,0
32,1,1,5,1,5,0.7966666666666666,0.041561772729046965,0.03349912961324056,0.02476678092833157,0.8,0.41403933560541256,0.8,0.41403933560541256,0.8,0.41403933560541256,0.8181818181818182,0.03522205352783203,0.01644301414489746,1,1,1
32,1,3,2,1,5,0.7956666666666667,0.061028876849601364,0.18178264300028482,0.06088955349676971,0.6666666666666666,0.48795003647426666,1.2,1.082325538564332,1.2,1.082325538564332,0.8251748251748252,0.14031100273132324,0.01582956314086914,1,1,1
32,1,3,10,5,5,0.7956666666666667,0.061028876849601364,0.19062383969624838,0.0553938544125493,0.6666666666666666,0.48795003647426666,1.2,1.082325538564332,1.2,1.082325538564332,0.8251748251748252,0.10323238372802734,0.0160825252532959,1,1,1
32,1,2,5,2,15,0.7953333333333333,0.035125624888527225,0.4782595634460449,0.15113768763224902,1.0,0.0,1.8,0.41403933560541256,1.8,0.41403933560541256,0.8275058275058275,0.16831302642822266,0.02129983901977539,1,2,2
