number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7530000000000001,0.1319469590403659,0.1409887154897054,0.04771054195381949,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.6736666666666665,0.11510037027783722,0.09893209139506022,0.023165214551950124,1.6,0.6324555320336759,1.8666666666666667,0.5163977794943223,2.933333333333333,1.162919151265879
8,1,2,5,10,15,0.6839999999999999,0.0962363162814775,0.36259803771972654,0.07278958834272854,1.0,0.0,2.0,0.0,2.0,0.0
32,2,1,2,10,15,0.16699999999999998,0.002535462764185552,0.6470252990722656,0.13444479374497412,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.756,0.1394786209936337,0.4902248541514079,0.07970153727668652,1.0,0.0,1.0,0.0,1.0,0.0
32,4,2,10,1,20,0.7456666666666666,0.04716485778123168,0.6245444138844808,0.10161725934066214,1.9333333333333333,0.2581988897471611,1.8666666666666667,0.3518657752744984,2.8,0.560611910581388
8,2,3,10,10,10,0.6233333333333334,0.15437277085338716,0.25192033449808754,0.03050959147870228,1.8666666666666667,0.3518657752744984,3.0,0.0,5.4,1.0555973258234952
16,4,4,5,2,10,0.7293333333333334,0.07752572537705207,0.9791236559549967,0.3994315530468702,2.1333333333333333,1.1254628677422753,2.066666666666667,0.9611501047232549,4.333333333333333,2.581988897471611
8,1,2,10,5,10,0.7823333333333333,0.038815804341359034,0.18725233078002929,0.06267689715845193,1.0,0.0,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611
8,2,1,5,5,10,0.16699999999999998,0.002535462764185552,0.13564807573954266,0.00851689574025341,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,5,2,20,0.5836666666666666,0.21043718664677477,0.8496758937835693,0.21496923162023912,1.9333333333333333,0.25819888974716115,1.7333333333333334,0.45773770821706344,2.6666666666666665,0.6172133998483678
32,4,2,10,5,20,0.7826666666666665,0.03494212902718408,0.8843087673187255,0.24880307703664148,1.9333333333333333,0.7037315505489967,1.8666666666666667,0.5163977794943223,3.6666666666666665,1.4474937289114918
