number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,3,4,1,1,10,0.8625850340136054,0.05143659215225057,0.25841679573059084,0.09418640441764188,1.4666666666666666,0.6399404734221844,3.2,0.7745966692414833,4.266666666666667,1.9444671200491874,0.8584905660377359,0.12524771690368652,0.007028102874755859,2,3,5
32,2,4,1,1,10,0.8625850340136054,0.05143659215225057,0.28190600077311195,0.10675574902940606,1.4,0.5070925528371101,3.2,0.7745966692414833,4.066666666666666,1.3870146083619754,0.8584905660377359,0.11590766906738281,0.005691051483154297,2,3,5
32,3,3,2,10,15,0.8612244897959184,0.060343515955663014,0.5064217408498128,0.4581772626236227,1.2666666666666666,0.5936168397046636,2.933333333333333,0.2581988897471611,3.7333333333333334,1.8309508328682536,0.839622641509434,0.28568243980407715,0.007306814193725586,1,3,3
32,1,2,2,2,10,0.8571428571428572,0.04563404035713857,0.1332897981007894,0.06035123376774623,1.0,0.0,2.0,0.0,2.0,0.0,0.8301886792452831,0.13180756568908691,0.00497746467590332,1,2,2
32,4,3,10,10,15,0.8571428571428572,0.04563404035713855,0.381653356552124,0.14606561263901688,1.5333333333333334,0.7432233529572065,2.8,0.4140393356054125,3.8666666666666667,1.8073922282301278,0.8962264150943396,0.14570164680480957,0.007786273956298828,1,3,3
32,1,3,2,2,10,0.8489795918367345,0.059148476515058945,0.15984937349955242,0.058272611636319215,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125,0.8490566037735849,0.10875844955444336,0.00546574592590332,1,3,3
32,4,3,1,5,20,0.8476190476190476,0.04554703543460824,0.6286936283111573,0.3166574819188793,1.5333333333333334,0.6399404734221844,2.933333333333333,0.2581988897471611,4.333333333333333,1.877181270897812,0.8584905660377359,0.22668719291687012,0.008386373519897461,1,3,3
16,3,3,5,10,10,0.8476190476190475,0.04991017496207408,0.2259555180867513,0.09558119210195146,1.6666666666666667,0.7237468644557459,2.933333333333333,0.2581988897471611,4.6,1.9198214202665531,0.7641509433962265,0.10477781295776367,0.006829738616943359,2,3,5
32,1,4,1,1,20,0.8476190476190475,0.08011217616763357,0.4950685501098633,0.21506236848507285,1.0,0.0,3.066666666666667,0.5936168397046636,3.066666666666667,0.5936168397046636,0.9056603773584906,0.2978641986846924,0.008501529693603516,1,4,4
32,4,4,5,5,20,0.8462585034013604,0.07899027608203024,0.6235177516937256,0.2617681817585031,1.2666666666666666,0.45773770821706344,3.066666666666667,0.5936168397046636,3.6,1.0555973258234952,0.9056603773584906,0.3611416816711426,0.008408784866333008,1,4,4
