number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6693877551020407,0.11472219855147098,0.14705629348754884,0.058378712099059024,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7088435374149661,0.10673368117594446,0.06536979675292968,0.03331988427465703,1.5333333333333334,0.5163977794943222,1.6666666666666667,0.48795003647426666,2.4,1.1832159566199232
4,2,1,10,10,20,0.6408163265306122,0.010348827608920566,0.5245964209238688,0.08880467601931859,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.7578231292517008,0.09934235667505315,0.2739397525787354,0.11910558530899644,1.0,0.0,2.0,0.0,2.0,0.0
4,4,3,2,2,5,0.6462585034013605,0.06530004830838616,0.19188523292541504,0.049079127616883926,3.0,0.7559289460184544,2.1333333333333333,0.5163977794943223,5.933333333333334,2.016597794967223
32,2,1,2,10,15,0.6843537414965987,0.08048266762837919,0.38940773010253904,0.48720469263616545,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
8,1,2,10,5,20,0.7129251700680271,0.10129954269546525,0.2552809238433838,0.04519569384885156,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6653061224489796,0.06536076431249149,0.5102194468180339,0.14386583757621324,3.0,1.0,2.533333333333333,0.5163977794943223,6.6,2.7979584393931636
4,2,4,5,1,5,0.7047619047619047,0.0644747863602386,0.2411091168721517,0.05523691176069656,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
32,4,2,10,1,20,0.6517006802721088,0.031300966451267974,0.43049500783284506,0.10843928283377544,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
8,4,2,5,10,20,0.7224489795918367,0.07470614374580867,0.5183019955952962,0.17164377334587963,1.5333333333333334,0.6399404734221844,2.0,0.0,3.066666666666667,1.2798809468443688
8,2,3,10,10,10,0.7482993197278912,0.08577904906747273,0.2886275927225749,0.11190296537514034,1.8666666666666667,0.3518657752744984,2.533333333333333,0.6399404734221844,4.266666666666667,1.3345232785352157
16,4,4,5,2,10,0.7333333333333333,0.09076690327018783,0.792207415898641,0.3043501520381833,1.5333333333333334,0.5163977794943222,1.2666666666666666,0.4577377082170635,1.8666666666666667,0.9904304018720249
4,2,4,5,5,15,0.6761904761904761,0.10487795372151025,0.7475886185963948,0.10458320846217672,1.8,0.41403933560541256,2.0,0.0,3.466666666666667,0.833809387832792
8,1,2,10,5,10,0.674829931972789,0.13168895369007996,0.12731539408365886,0.030526655095197565,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.6462585034013605,0.10453700949851115,0.9345284461975097,0.3756598929228866,1.8,0.7745966692414833,1.7333333333333334,0.4577377082170635,3.1333333333333333,1.7674302033770735
4,3,4,5,2,15,0.7061224489795919,0.0649040098395073,1.1985425313313802,0.14850062005863005,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
8,2,1,5,5,10,0.676190476190476,0.05918199789860279,0.09437044461568196,0.03132994210850739,1.7333333333333334,0.45773770821706344,1.0,0.0,1.7333333333333334,0.45773770821706344
4,2,3,2,2,15,0.6952380952380953,0.07089205698020695,0.6397387504577636,0.18398518833432664,1.4,0.5070925528371101,1.2,0.41403933560541256,1.6,0.828078671210825
8,2,2,5,2,20,0.6408163265306122,0.010348827608920566,0.5935046831766765,0.13615758428643845,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.8000000000000002,0.08491926173644747,0.3645844300587972,0.11838375839913813,1.6,0.6324555320336759,1.8,0.41403933560541256,2.6,1.1832159566199234
4,2,1,10,2,10,0.6408163265306122,0.010348827608920566,0.09189972877502442,0.005404526403377231,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.6816326530612246,0.06715672404590514,0.2158048947652181,0.05855751937994094,1.6666666666666667,0.48795003647426666,1.0,0.0,1.6666666666666667,0.48795003647426666
8,2,1,2,1,20,0.6693877551020407,0.062284315770153156,0.2891638914744059,0.06938967967848893,1.8,0.41403933560541256,1.0,0.0,1.8,0.41403933560541256
32,3,2,2,5,10,0.8272108843537415,0.049910174962074096,0.38779168128967284,0.19110692269271962,1.3333333333333333,0.48795003647426666,2.0,0.0,2.6666666666666665,0.9759000729485333
8,1,1,10,5,10,0.6680272108843537,0.10975685809231395,0.06587206522623698,0.039375710258143855,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6979591836734694,0.09421917811845335,0.14410527547200522,0.048127310378584524,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.6312925170068028,0.07883948318075709,0.9136450449625652,0.09988619612276813,1.5333333333333334,0.5163977794943222,1.6666666666666667,0.7237468644557459,2.2,1.2071217242444348
4,2,1,5,2,5,0.6408163265306122,0.010348827608920566,0.029602813720703124,0.005284669631504525,2.0,0.0,1.0,0.0,2.0,0.0
32,4,4,5,5,20,0.8462585034013604,0.07899027608203024,0.6235177516937256,0.2617681817585031,1.2666666666666666,0.45773770821706344,3.066666666666667,0.5936168397046636,3.6,1.0555973258234952
8,2,2,5,5,10,0.6816326530612246,0.08512919842699677,0.17595934867858887,0.06131595637620442,1.6666666666666667,0.48795003647426666,1.6666666666666667,0.48795003647426666,2.7333333333333334,1.2798809468443688
4,2,1,1,5,20,0.6421768707482992,0.010538730193761633,0.5258139769236246,0.0206878481125383,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
8,2,2,1,5,20,0.6857142857142856,0.10738207364355232,0.3705918312072754,0.05199506913226388,1.4,0.5070925528371101,2.0,0.0,2.8,1.0141851056742202
4,3,4,1,5,20,0.6775510204081631,0.13974110989600155,1.1623130321502686,0.31753750626126276,1.6,0.8280786712108251,2.6666666666666665,1.1126972805283735,4.066666666666666,3.011090610836324
32,4,4,2,5,5,0.817687074829932,0.1030465499660594,0.5329824129740397,0.3655214188468647,1.6666666666666667,0.9759000729485332,3.2666666666666666,0.5936168397046636,5.266666666666667,3.3266599866332407
4,3,2,2,1,5,0.6408163265306122,0.010348827608920566,0.10159274737040201,0.02102786764491374,2.0,0.0,1.0,0.0,2.0,0.0
32,4,3,10,2,10,0.6775510204081633,0.06689040419685124,0.33298397064208984,0.06972082340290299,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
4,2,2,1,5,5,0.6693877551020406,0.10693788529217965,0.12282061576843262,0.030296983128750867,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115,3.466666666666667,0.833809387832792
8,2,3,1,5,5,0.6897959183673468,0.07035849856092528,0.10015157063802084,0.04166652796976926,1.2666666666666666,0.4577377082170635,2.8,0.560611910581388,3.4,1.1832159566199232
32,2,1,10,1,5,0.6693877551020407,0.056787734503393986,0.010839112599690755,0.003124493530203136,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
16,1,3,2,5,10,0.7891156462585033,0.08402707996585922,0.16924935976664227,0.05447610352380348,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125
16,2,3,2,2,10,0.8095238095238098,0.06106230543208944,0.1831412633260091,0.06608727291859899,1.6666666666666667,0.48795003647426666,2.6,0.5070925528371101,3.8666666666666667,0.9904304018720249
32,3,4,2,1,20,0.8054421768707483,0.07352875260596076,0.7566814581553142,0.18507979552265363,1.6666666666666667,0.6172133998483676,1.8666666666666667,0.3518657752744984,2.933333333333333,1.3345232785352157
16,2,4,2,2,15,0.7904761904761904,0.07576062276723505,0.4593097050984701,0.13994024239374986,1.6666666666666667,0.48795003647426666,2.7333333333333334,0.45773770821706344,4.133333333333334,1.3020130933435712
32,1,3,10,5,20,0.8163265306122448,0.046281364041946195,0.3414248625437419,0.09793140273812984,1.0,0.0,1.6,0.5070925528371101,1.6,0.5070925528371101
32,4,3,10,10,15,0.8571428571428572,0.04563404035713855,0.381653356552124,0.14606561263901688,1.5333333333333334,0.7432233529572065,2.8,0.4140393356054125,3.8666666666666667,1.8073922282301278
8,1,1,10,2,15,0.7074829931972789,0.12876487521906227,0.05771663983662923,0.02415284252213065,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.7170068027210884,0.08824079663305702,0.06287805239359538,0.018521286548248337,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.6353741496598639,0.13621953052561322,0.22200911839803059,0.06903834517929898,1.9333333333333333,0.8837151016885368,2.4,1.2421180068162376,4.2,2.980891525318271
16,1,1,2,5,20,0.7714285714285715,0.08801574960346051,0.17323530515034993,0.07563581016505716,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.6408163265306122,0.010348827608920566,0.12432371775309245,0.02864862048922065,2.0,0.0,1.0,0.0,2.0,0.0
4,3,2,5,10,15,0.6925170068027211,0.09239115661463834,0.6005595684051513,0.20256601036234073,1.8666666666666667,0.9154754164341269,1.9333333333333333,0.2581988897471611,3.533333333333333,1.8073922282301278
32,2,4,5,2,15,0.8244897959183675,0.039180028985031694,0.7070528507232666,0.22097868841605176,1.2666666666666666,0.45773770821706344,1.6,0.5070925528371101,2.0,1.0690449676496976
8,3,4,5,5,20,0.7768707482993197,0.08252668835516708,0.8548111120859782,0.24353450541124735,1.5333333333333334,0.5163977794943222,2.0,0.6546536707079771,2.8,1.2649110640673518
8,3,3,1,5,10,0.742857142857143,0.08264676216863913,0.4256834348042806,0.15148836684924835,1.7333333333333334,0.7988086367179803,2.8666666666666667,0.5163977794943223,4.533333333333333,2.1668498091095505
32,3,3,2,10,15,0.8612244897959184,0.060343515955663014,0.5064217408498128,0.4581772626236227,1.2666666666666666,0.5936168397046636,2.933333333333333,0.2581988897471611,3.7333333333333334,1.8309508328682536
16,1,4,5,2,20,0.7619047619047618,0.08077783732678857,0.6239959398905436,0.15033598947031193,1.0,0.0,1.0666666666666667,0.25819888974716115,1.0666666666666667,0.25819888974716115
8,1,4,10,10,20,0.7346938775510204,0.11949796811614691,0.4368033727010091,0.07175813973814607,1.0,0.0,1.6666666666666667,0.7237468644557459,1.6666666666666667,0.7237468644557459
