number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6793650793650793,0.13036872612366354,0.004457330703735352,0.0016168866618463992,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7142857142857143,0.16198477414681167,0.004207261403401693,0.0022291598464066163,1.7333333333333334,0.45773770821706344,1.9333333333333333,0.25819888974716115,3.1333333333333333,0.990430401872025
4,2,1,10,10,20,0.35238095238095235,0.07377111135633174,0.00993343989054362,0.0025372059511320736,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
8,1,2,5,10,15,0.7269841269841268,0.13404410486647556,0.006803655624389648,0.001161972965959412,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.711111111111111,0.120018715021918,0.009072367350260417,0.0035584213031318724,1.6666666666666667,0.6172133998483676,2.066666666666667,0.5936168397046636,3.066666666666667,1.4375905768565218
32,2,1,2,10,15,0.3809523809523809,0.12598815766974242,0.036193291346232094,0.0279058234791224,1.8666666666666667,0.3518657752744984,1.0,0.0,1.8666666666666667,0.3518657752744984
8,1,2,10,5,20,0.6603174603174603,0.12581662844429306,0.010276397069295248,0.0020394109279034257,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6285714285714284,0.2234981188625144,0.017198689778645835,0.005648057510318501,2.066666666666667,0.9611501047232549,2.3333333333333335,0.723746864455746,4.533333333333333,2.774029216723951
4,2,4,5,1,5,0.37142857142857133,0.07886463535341193,0.01579707463582357,0.00397074613963984,1.8,0.41403933560541256,1.0,0.0,1.8,0.41403933560541256
32,4,2,10,1,20,0.37460317460317455,0.10928199668608574,0.031028111775716145,0.013503600749337845,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
8,4,2,5,10,20,0.7555555555555554,0.16384063407581653,0.019013182322184245,0.01261348140353309,1.4666666666666666,0.5163977794943222,2.0,0.0,2.8,0.9411239481143203
8,2,3,10,10,10,0.8317460317460319,0.11645707491150621,0.009689124425252278,0.0028400027571729314,1.6666666666666667,0.48795003647426666,2.1333333333333333,0.5163977794943223,3.466666666666667,1.3020130933435712
16,4,4,5,2,10,0.7111111111111111,0.16928618470295123,0.03609067598978678,0.019609541648907942,1.4666666666666666,0.5163977794943222,1.8666666666666667,0.35186577527449836,2.4,0.828078671210825
4,2,4,5,5,15,0.5746031746031746,0.16245072679165395,0.027538220087687176,0.014473656707110713,1.6666666666666667,0.48795003647426666,1.8666666666666667,0.35186577527449836,2.8666666666666667,0.9154754164341269
8,1,2,10,5,10,0.6888888888888888,0.1283655023438459,0.004710976282755534,0.0020495239642918214,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.6634920634920634,0.1634447237893775,0.0241790771484375,0.006855189441254691,1.4666666666666666,0.7432233529572065,2.0,0.0,2.8,1.3201731488169055
4,3,4,5,2,15,0.3523809523809523,0.053391610531560794,0.056733194986979166,0.0194528977862521,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
8,2,1,5,5,10,0.3523809523809523,0.07377111135633176,0.0041933854420979815,0.002514779963653894,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
4,2,3,2,2,15,0.6253968253968252,0.1937362734652255,0.02111981709798177,0.0036367365390650086,1.4666666666666666,0.5163977794943222,1.7333333333333334,0.4577377082170635,2.3333333333333335,1.0465362369445672
8,2,2,5,2,20,0.546031746031746,0.20111985369733235,0.033050044377644854,0.012406111560951144,1.6,0.5070925528371101,1.2,0.41403933560541256,1.8,0.7745966692414834
32,4,2,10,5,20,0.9111111111111112,0.05933075268371172,0.013733386993408203,0.005106205833502247,1.2666666666666666,0.4577377082170635,2.0,0.0,2.533333333333333,0.915475416434127
4,2,1,10,2,10,0.3777777777777777,0.09432670494019287,0.005160125096638998,0.002238330762671358,1.8,0.41403933560541256,1.0,0.0,1.8,0.41403933560541256
32,3,2,5,1,10,0.7396825396825396,0.12452262803860185,0.013871399561564128,0.010620584035507707,1.2,0.41403933560541256,1.3333333333333333,0.48795003647426666,1.5333333333333334,0.833809387832792
8,2,1,2,1,20,0.3619047619047618,0.1106566670344976,0.006420214970906575,0.001893007730633266,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
32,3,2,2,5,10,0.9079365079365079,0.09259367238329462,0.008913818995157878,0.005248022934983141,1.5333333333333334,0.5163977794943222,2.0,0.0,3.066666666666667,1.0327955589886444
16,4,2,2,5,15,0.7936507936507936,0.09466950451314331,0.010412470499674479,0.005040718751573528,1.2666666666666666,0.4577377082170635,2.0,0.0,2.533333333333333,0.915475416434127
8,1,1,10,5,10,0.6920634920634919,0.12709745509859194,0.002285114924112956,0.0018228896673381705,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6031746031746031,0.1147759703840704,0.006876834233601888,0.003100869955074163,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.7968253968253969,0.12136074758735488,0.0357820192972819,0.014373307497179064,1.2,0.41403933560541256,2.6666666666666665,0.4879500364742666,3.066666666666667,0.9611501047232549
4,2,1,5,2,5,0.3523809523809523,0.053391610531560794,0.002940877278645833,0.0017017568454539167,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
32,4,4,5,5,20,0.907936507936508,0.07734387739071835,0.029129489262898763,0.023955725879501084,1.2666666666666666,0.4577377082170635,2.1333333333333333,0.35186577527449836,2.6666666666666665,1.1751393027860062
8,2,2,5,5,10,0.6698412698412698,0.13879329395634327,0.007308308283487956,0.003001278331931182,1.4,0.5070925528371101,1.8,0.4140393356054126,2.466666666666667,1.1254628677422756
4,2,1,1,5,20,0.3619047619047618,0.07593494564558273,0.012446069717407226,0.002761342854942088,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
8,2,2,1,5,20,0.7968253968253969,0.1532148385114603,0.013104009628295898,0.0028441807654752903,1.2666666666666666,0.4577377082170635,2.0,0.0,2.466666666666667,0.833809387832792
4,3,4,1,5,20,0.7746031746031744,0.15215402604152004,0.04267210960388183,0.023050548174037205,1.4,0.6324555320336759,2.7333333333333334,0.7037315505489968,3.7333333333333334,2.1536237457121516
32,4,4,2,5,5,0.9301587301587303,0.03539158823605744,0.03578313191731771,0.03582744012366091,2.2666666666666666,0.7988086367179803,3.2666666666666666,0.4577377082170635,6.6,2.5579009251449016
4,3,2,2,1,5,0.3968253968253967,0.11191802883676252,0.006852563222249349,0.0020859036371862144,1.7333333333333334,0.45773770821706344,1.0,0.0,1.7333333333333334,0.45773770821706344
32,4,3,10,2,10,0.7142857142857141,0.11938727057676357,0.022227748235066732,0.008417561689573836,1.1333333333333333,0.35186577527449836,1.1333333333333333,0.35186577527449836,1.3333333333333333,0.8997354108424374
4,2,2,1,5,5,0.7428571428571428,0.1244358829023072,0.007063102722167969,0.0027776608144388527,1.5333333333333334,0.5163977794943222,1.8666666666666667,0.3518657752744984,2.8666666666666667,1.1872336794093274
8,2,3,1,5,5,0.7809523809523811,0.14263020523513334,0.0059174378712972,0.0017560905183607687,1.4666666666666666,0.5163977794943222,2.8,0.560611910581388,3.8666666666666667,1.5055453054181618
32,2,1,10,1,5,0.35238095238095235,0.07377111135633174,0.0018305142720540365,0.001433649440254506,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
16,1,3,2,5,10,0.8634920634920636,0.09501106727457558,0.008552026748657227,0.007757421857548625,1.0,0.0,2.533333333333333,0.5163977794943223,2.533333333333333,0.5163977794943223
16,2,3,2,2,10,0.8730158730158731,0.09967011780424448,0.007193454106648763,0.0017631720872932906,1.4,0.5070925528371101,2.1333333333333333,0.35186577527449836,2.933333333333333,1.0997835284835875
32,3,4,2,1,20,0.8952380952380954,0.06286538803890025,0.03879741032918294,0.034447472354813095,1.1333333333333333,0.35186577527449836,2.0,0.0,2.2666666666666666,0.7037315505489967
16,2,4,2,2,15,0.8730158730158731,0.08182139933183091,0.01938770612080892,0.014887711979123483,1.2,0.41403933560541256,2.3333333333333335,0.4879500364742666,2.7333333333333334,0.9611501047232549
32,1,3,10,5,20,0.9079365079365082,0.060946711754493746,0.010513782501220703,0.003619792409460753,1.0,0.0,2.0,0.0,2.0,0.0
32,4,3,10,10,15,0.8984126984126984,0.0670220524332378,0.012026007970174153,0.0063519041858078615,1.0666666666666667,0.25819888974716115,2.3333333333333335,0.4879500364742666,2.466666666666667,0.6399404734221845
8,1,1,10,2,15,0.673015873015873,0.1392593052080601,0.002560106913248698,0.0012487396885175245,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.6730158730158728,0.11220709869966454,0.003061310450236003,0.0019447276735954794,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.7555555555555556,0.12452262803860187,0.01118451754252116,0.0028462232790131925,1.4,0.5070925528371101,2.6666666666666665,0.4879500364742666,3.533333333333333,1.3557637102737476
16,1,1,2,5,20,0.6507936507936507,0.1147759703840704,0.007520516713460286,0.002706648525733354,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.35555555555555546,0.08606629658238706,0.00888838768005371,0.003359777754495405,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
4,3,2,5,10,15,0.7396825396825396,0.14717583967206288,0.021887779235839844,0.007779941653134796,1.6666666666666667,0.816496580927726,2.0,0.0,3.2,1.52127765851133
