number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,4,3,1,5,20,0.9092592592592593,0.11022297160096851,0.019786564509073894,0.016919380077028836,1.2666666666666666,0.4577377082170635,2.1333333333333333,0.7432233529572065,2.6,1.1832159566199232,0.8333333333333334,0.00934910774230957,0.001476287841796875,2,3,5
16,4,2,1,10,20,0.8935185185185186,0.07972800616888696,0.012337048848470053,0.013236025348705244,1.3333333333333333,0.48795003647426666,1.7333333333333334,0.45773770821706344,2.2,1.01418510567422,1.0,0.0036907196044921875,0.0021407604217529297,1,2,2
16,2,3,1,5,5,0.8925925925925926,0.09279409291645739,0.006504615147908528,0.0011738550361084235,1.0666666666666667,0.25819888974716115,2.1333333333333333,0.6399404734221844,2.2666666666666666,0.7988086367179803,0.9444444444444444,0.0036482810974121094,0.0011644363403320312,2,3,5
32,4,4,5,5,20,0.8861111111111111,0.10824681119570591,0.02425985336303711,0.018529049452282217,1.6666666666666667,0.48795003647426666,1.8,0.5606119105813882,2.533333333333333,0.9904304018720251,0.9444444444444444,0.008013248443603516,0.002567768096923828,1,1,1
32,3,3,2,10,15,0.8851851851851852,0.11042280189936449,0.017985947926839194,0.02108538329256097,1.2,0.41403933560541256,2.1333333333333333,0.6399404734221844,2.466666666666667,0.915475416434127,1.0,0.00637364387512207,0.0009965896606445312,1,3,3
32,1,2,5,10,5,0.8851851851851852,0.07414018214084532,0.004807869593302409,0.0036451536205093053,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115,0.7222222222222222,0.0034830570220947266,0.0010516643524169922,1,2,2
32,3,2,1,1,5,0.8851851851851852,0.07414018214084532,0.0040593783060709635,0.0011891177601630486,1.1333333333333333,0.35186577527449836,1.2,0.41403933560541256,1.3333333333333333,0.7237468644557459,0.9444444444444444,0.0022971630096435547,0.0,1,1,1
32,2,4,1,1,10,0.8796296296296297,0.12844317203375538,0.015593449274698893,0.01601414297582822,1.6,0.5070925528371101,1.6,0.5070925528371101,2.2,1.0141851056742202,0.8888888888888888,0.008747100830078125,0.0,2,2,3
32,3,4,1,1,10,0.8796296296296297,0.12844317203375538,0.01573047637939453,0.01515661336092039,1.6,0.5070925528371101,1.6,0.5070925528371101,2.2,1.0141851056742202,0.8888888888888888,0.010836124420166016,0.0009961128234863281,2,2,3
32,3,2,2,10,15,0.8787037037037037,0.10967156087136891,0.00987550417582194,0.010842950858640905,1.2666666666666666,0.4577377082170635,1.8666666666666667,0.3518657752744984,2.1333333333333333,0.6399404734221844,0.8888888888888888,0.004394054412841797,0.0009984970092773438,2,2,4
