number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7805555555555554,0.22616784904924622,0.002641582489013672,0.001277388462432913,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.8638888888888888,0.10709508047068703,0.005278301239013672,0.0013802827978641845,1.5333333333333334,0.5163977794943222,1.5333333333333334,0.5163977794943222,2.066666666666667,1.0327955589886444
4,2,1,10,10,20,0.600925925925926,0.2048966989983856,0.006419849395751953,0.0024564500771020355,1.4666666666666666,0.6399404734221844,0.9333333333333333,0.25819888974716115,1.4666666666666666,0.6399404734221844
8,1,2,5,10,15,0.7962962962962963,0.12693244649401933,0.00475614865620931,0.0014846855539143887,1.0,0.0,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222
4,4,3,2,2,5,0.6796296296296297,0.2048966989983856,0.012063884735107422,0.004771930566852155,1.6666666666666667,0.816496580927726,1.5333333333333334,0.7432233529572065,2.466666666666667,1.5976172734359606
32,2,1,2,10,15,0.6268518518518519,0.22065835302465484,0.0028374354044596356,0.0012972496218671868,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
8,1,2,10,5,20,0.7342592592592593,0.20384494862650104,0.004529762268066406,0.0016149803500083908,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.7398148148148148,0.20869457217714657,0.011460320154825846,0.0026416268176948222,1.2666666666666666,0.4577377082170635,1.0666666666666667,0.25819888974716115,1.3333333333333333,0.6172133998483675
4,2,4,5,1,5,0.5805555555555556,0.1908829156261873,0.03730374972025553,0.04538701675183425,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
32,4,2,10,1,20,0.5435185185185186,0.1744121730672792,0.021482149759928387,0.013568167593738639,1.8,0.41403933560541256,1.0,0.0,1.8,0.41403933560541256
8,4,2,5,10,20,0.8212962962962963,0.12771162308642775,0.014027849833170573,0.00937259588709194,1.3333333333333333,0.48795003647426666,1.5333333333333334,0.5163977794943222,1.9333333333333333,1.0327955589886444
8,2,3,10,10,10,0.826851851851852,0.12410023020517831,0.010613266626993816,0.0018164236343175563,1.4666666666666666,0.5163977794943222,1.5333333333333334,0.5163977794943222,2.0,1.0
16,4,4,5,2,10,0.812962962962963,0.17893554881309007,0.03290050824483236,0.02464493958399329,1.4666666666666666,0.6399404734221844,1.4,0.50709255283711,1.9333333333333333,1.2798809468443688
4,2,4,5,5,15,0.6537037037037037,0.30394899921056695,0.02182032267252604,0.004952935615902419,1.4,0.5070925528371101,1.3333333333333333,0.48795003647426666,1.7333333333333334,0.8837151016885368
8,1,2,10,5,10,0.7657407407407407,0.1880955171564916,0.007060972849527994,0.01568465895077884,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7333333333333333,0.1942459304116343,0.02338547706604004,0.015174503204261464,1.5333333333333334,0.5163977794943222,1.7333333333333334,0.4577377082170635,2.2666666666666666,0.883715101688537
4,3,4,5,2,15,0.5888888888888888,0.2067266084773736,0.045432488123575844,0.018238540282586358,1.4666666666666666,0.6399404734221844,0.9333333333333333,0.25819888974716115,1.4666666666666666,0.6399404734221844
8,2,1,5,5,10,0.5222222222222223,0.1571173019143549,0.003546937306722005,0.0012877478148218518,1.8,0.41403933560541256,1.0,0.0,1.8,0.41403933560541256
4,2,3,2,2,15,0.687962962962963,0.20653100457195353,0.02014023462931315,0.014644710587646315,1.6666666666666667,0.48795003647426666,1.5333333333333334,0.5163977794943222,2.2,0.9411239481143203
8,2,2,5,2,20,0.4638888888888889,0.05111197376773727,0.03444948196411133,0.030151184578613852,1.9333333333333333,0.25819888974716115,1.0,0.0,1.9333333333333333,0.25819888974716115
32,4,2,10,5,20,0.8453703703703703,0.14152913751806684,0.010930220286051432,0.010652413403453732,1.5333333333333334,0.5163977794943222,1.5333333333333334,0.5163977794943222,2.066666666666667,1.0327955589886444
4,2,1,10,2,10,0.5166666666666667,0.1498823759866159,0.006382083892822266,0.008643648763792774,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
32,3,2,5,1,10,0.6101851851851853,0.21831047849467997,0.009182341893513997,0.001963678937119859,1.8,0.41403933560541256,1.1333333333333333,0.35186577527449836,1.9333333333333333,0.5936168397046636
8,2,1,2,1,20,0.4972222222222223,0.12313422366278613,0.0062410990397135414,0.010941956838130462,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
32,3,2,2,5,10,0.8777777777777779,0.0820335136057048,0.01312551498413086,0.014535227875568905,1.3333333333333333,0.48795003647426666,1.8666666666666667,0.3518657752744984,2.3333333333333335,0.8997354108424372
16,4,2,2,5,15,0.875925925925926,0.10570512933637048,0.010228649775187174,0.011365073466921291,1.0666666666666667,0.25819888974716115,1.5333333333333334,0.5163977794943222,1.6666666666666667,0.8164965809277259
8,1,1,10,5,10,0.6990740740740741,0.2442384292998438,0.0017922719319661458,0.001042184474030011,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.787962962962963,0.1340903882325028,0.002981694539388021,0.0009391506915808692,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.7537037037037038,0.1879929342487489,0.03189862569173177,0.022518174601907893,1.6,0.5070925528371101,1.7333333333333334,0.7037315505489968,2.3333333333333335,1.1751393027860062
4,2,1,5,2,5,0.47222222222222227,0.06556631603912025,0.00391689936319987,0.002514416448339091,1.8666666666666667,0.35186577527449836,1.0,0.0,1.8666666666666667,0.35186577527449836
32,4,4,5,5,20,0.8861111111111111,0.10824681119570591,0.02425985336303711,0.018529049452282217,1.6666666666666667,0.48795003647426666,1.8,0.5606119105813882,2.533333333333333,0.9904304018720251
