number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,4,4,2,5,5,0.8380952380952382,0.05382755138222333,0.43435808817545574,0.32750586510901597,2.2666666666666666,1.0997835284835875,2.933333333333333,0.7988086367179801,5.666666666666667,3.6774732526300613,0.7966101694915254,0.2215874195098877,0.0012965202331542969,1,2,2
32,3,4,1,1,5,0.8310405643738977,0.07233348481621664,0.06533403396606445,0.03583338464241154,1.9333333333333333,0.4577377082170634,2.066666666666667,0.5936168397046636,3.3333333333333335,1.4474937289114918,0.847457627118644,0.032210350036621094,0.0011343955993652344,2,3,4
32,2,4,10,10,5,0.8310405643738977,0.07233348481621664,0.05298991203308105,0.02774245959226321,1.8666666666666667,0.35186577527449836,2.066666666666667,0.5936168397046636,3.1333333333333333,1.0600988273786192,0.847457627118644,0.027747631072998047,0.0019941329956054688,2,3,4
32,4,3,10,10,15,0.8214285714285714,0.08845495483884053,0.16272652943929036,0.07665631314337461,2.0,0.8451542547285166,2.0,0.7559289460184544,3.7333333333333334,2.1201976547572388,0.8305084745762712,0.06707906723022461,0.002436399459838867,2,2,3
32,3,2,1,1,5,0.8161375661375662,0.07026785706504458,0.024033006032307944,0.02257192151329117,1.7333333333333334,0.5936168397046636,1.6666666666666667,0.48795003647426666,2.6,1.4040757000349275,0.847457627118644,0.01511836051940918,0.0011911392211914062,3,2,6
16,1,4,5,2,20,0.8137566137566138,0.0578093566710172,0.24192148844401043,0.0956602772020122,1.0,0.0,1.0,0.0,1.0,0.0,0.8305084745762712,0.12277364730834961,0.003859281539916992,1,1,1
32,3,4,2,1,20,0.8088183421516754,0.06631658814634805,0.23975079854329426,0.06257368137380014,1.8,0.41403933560541256,1.8,0.41403933560541256,2.6666666666666665,0.8997354108424372,0.7457627118644068,0.16965460777282715,0.003844738006591797,3,2,5
32,1,3,10,5,20,0.8064373897707232,0.07573201715947575,0.15583976109822592,0.0629708524370924,1.0,0.0,1.1333333333333333,0.35186577527449836,1.1333333333333333,0.35186577527449836,0.847457627118644,0.040117502212524414,0.002398967742919922,1,1,1
32,1,3,10,5,5,0.8063492063492065,0.09773768004730318,0.017717790603637696,0.004442060204378782,1.0,0.0,1.0,0.0,1.0,0.0,0.847457627118644,0.009094953536987305,0.002232074737548828,1,1,1
32,1,3,2,1,5,0.8063492063492065,0.09773768004730318,0.020886039733886717,0.01707141974924031,1.0,0.0,1.0,0.0,1.0,0.0,0.847457627118644,0.0076634883880615234,0.001993417739868164,1,1,1
