number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6263816776277836,0.11822409903144054,0.0465544064839681,0.005564299129047245,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.6143648321218415,0.11948744933275329,0.04381874402364095,0.006492147213061434,1.8666666666666667,0.3518657752744984,2.0,0.0,3.6666666666666665,0.7237468644557459
4,2,1,10,10,20,0.3482173762547595,0.0030716925145896365,0.1006499449412028,0.008875620376098617,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.6145090573439483,0.06875029398761344,0.07338480949401856,0.0037413105958849667,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.5507961232260298,0.11680706318650211,0.10565977096557617,0.02811706288911678,2.3333333333333335,1.0465362369445672,2.2666666666666666,0.7988086367179803,4.666666666666667,2.8452131897694577
32,2,1,2,10,15,0.3482173762547595,0.0030716925145896365,0.7807470480600993,0.3700886351816401,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.6735375562478366,0.10624642661300318,0.11809128125508626,0.04716583420532342,1.0,0.0,1.2666666666666666,0.4577377082170635,1.2666666666666666,0.4577377082170635
4,4,3,10,10,10,0.5654205607476636,0.0887940889610202,0.15359752972920734,0.038511024905319505,2.933333333333333,1.0997835284835873,2.8,0.4140393356054125,7.533333333333333,3.2484428504101706
4,2,4,5,1,5,0.3482173762547595,0.0030716925145896365,0.3016891161600749,0.09115727063114833,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.3482173762547595,0.0030716925145896365,0.3244427363077799,0.19272670160573602,2.0,0.0,1.0,0.0,2.0,0.0
8,2,3,10,10,10,0.6256259374639436,0.08554800592288472,0.09837126731872559,0.01661598896295948,2.0,0.0,2.8666666666666667,0.3518657752744984,5.2,1.01418510567422
16,4,4,5,2,10,0.6951367255105574,0.05801297705378945,0.42906115849812826,0.18613836502502767,2.2666666666666666,0.7037315505489969,2.2666666666666666,0.4577377082170635,4.266666666666667,1.8309508328682538
4,2,4,5,5,15,0.48998500057690086,0.1465609518276405,0.33295159339904784,0.06393442246078941,1.8666666666666667,0.3518657752744984,2.0,0.0,3.7333333333333334,0.7037315505489968
8,1,2,10,5,10,0.6937983154494057,0.08507981023079658,0.056496413548787434,0.014552423815080148,1.0,0.0,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611
4,3,4,5,2,15,0.3482173762547595,0.0030716925145896365,0.959002145131429,0.24454798937655667,2.0,0.0,1.0,0.0,2.0,0.0
