number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,1,10,5,10,0.7783895620495762,0.022048335696951644,0.028163878122965495,0.0047399923580540545,1.0,0.0,1.0,0.0,1.0,0.0,0.7837150127226463,0.017529010772705078,0.00917816162109375,1,1,1
32,1,2,5,2,10,0.7729250811752594,0.03203930377352841,0.11534008979797364,0.05889922188605987,1.0,0.0,1.1333333333333333,0.35186577527449836,1.1333333333333333,0.35186577527449836,0.7837150127226463,0.061630964279174805,0.007611274719238281,1,1,1
32,1,2,5,2,15,0.7682010770570998,0.039244002800046605,0.1516855239868164,0.06751255468356655,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256,0.7837150127226463,0.05129265785217285,0.00946044921875,1,1,1
16,1,1,10,5,20,0.7642096301575988,0.04979947523702253,0.030782699584960938,0.0034401758153809075,1.0,0.0,1.0,0.0,1.0,0.0,0.7837150127226463,0.019359588623046875,0.009488821029663086,1,1,1
32,2,4,10,10,5,0.7641819117763522,0.029801015416761768,0.48009285926818845,0.1053038843721679,1.6,0.50709255283711,3.0,0.8451542547285166,4.4,1.9566735620873064,0.7862595419847328,0.35294055938720703,0.00899815559387207,2,4,7
32,2,4,2,1,15,0.7638710699295161,0.03843809648617521,0.27568403879801434,0.10977044566307187,1.6666666666666667,0.48795003647426666,2.1333333333333333,0.6399404734221844,3.066666666666667,1.0997835284835873,0.7786259541984732,0.16834282875061035,0.009043455123901367,2,2,3
32,3,4,2,1,20,0.7638334521263958,0.026498904582697755,0.4390026251475016,0.12107523792878669,2.0,0.8451542547285166,2.4,0.8280786712108251,4.066666666666666,2.2824381283013584,0.7862595419847328,0.25713515281677246,0.009377717971801758,2,2,3
32,1,3,2,1,5,0.7638195929357726,0.030013380302253326,0.09693636894226074,0.04401246693129961,1.0,0.0,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222,0.7837150127226463,0.06445741653442383,0.00927114486694336,1,1,1
32,1,3,10,5,5,0.7638195929357726,0.030013380302253326,0.09611770311991373,0.03749685430421024,1.0,0.0,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222,0.7837150127226463,0.06648445129394531,0.008496284484863281,1,1,1
32,1,2,5,10,5,0.7620139383859982,0.027938555281953423,0.58862411181132,0.06810198883768577,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115,0.7786259541984732,0.4290602207183838,0.008471488952636719,1,2,2
