number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6700047517224994,0.16341739671259115,0.03243349393208821,0.008307019603238442,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.5599568385206304,0.15554054670162357,0.046831178665161136,0.005584337291624072,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115,3.7333333333333334,0.7988086367179803
4,2,1,10,10,20,0.3820978854834877,0.000860737511652954,0.06636455853780111,0.010639159002942693,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.5908687732636415,0.1366222491458134,0.06804118156433106,0.006010638924033362,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.6450225706818721,0.12013507427367373,0.11378922462463378,0.019886280566617152,2.8,0.9411239481143204,2.3333333333333335,0.6172133998483678,5.866666666666666,2.8250579429371676
32,2,1,2,10,15,0.3820978854834877,0.000860737511652954,0.2788573424021403,0.08292435705495822,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.6047537023837807,0.21814607473990008,0.0586539109547933,0.023468741821838543,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
4,4,3,10,10,10,0.5662588104854678,0.1203464772642276,0.13181921641031902,0.03972622447665462,2.7333333333333334,1.2227992865708153,2.533333333333333,0.833809387832792,6.333333333333333,2.8949874578229835
4,2,4,5,1,5,0.3820978854834877,0.000860737511652954,0.20429917971293132,0.05482886519860416,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.3820978854834877,0.000860737511652954,0.16401456197102865,0.05592804482441847,2.0,0.0,1.0,0.0,2.0,0.0
8,2,3,10,10,10,0.5942187376257225,0.12746176063893647,0.07105024655659993,0.011068301310154238,1.8,0.5606119105813882,2.6,0.8280786712108251,4.666666666666667,1.6761634196950517
16,4,4,5,2,10,0.723408172962699,0.07674041507188373,0.21814746856689454,0.05774987884618733,2.1333333333333333,0.5163977794943223,2.3333333333333335,0.6172133998483678,3.7333333333333334,1.5337473561121309
4,2,4,5,5,15,0.5742674427813416,0.11825761282474256,0.17149182955423992,0.06852313056709984,1.8,0.41403933560541256,1.8,0.5606119105813882,3.2,1.2649110640673518
8,1,2,10,5,10,0.6603567751643304,0.1784616339101496,0.04466190338134766,0.010124690346237707,1.0,0.0,1.0666666666666667,0.25819888974716115,1.0666666666666667,0.25819888974716115
4,4,2,5,10,20,0.6018511918903936,0.11253546294115614,0.24202847480773926,0.05940550184755412,2.066666666666667,0.7988086367179803,2.0,0.0,4.066666666666666,1.4375905768565218
4,3,4,5,2,15,0.3820978854834877,0.000860737511652954,0.4607993602752686,0.13683614335301558,2.0,0.0,1.0,0.0,2.0,0.0
