number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,3,4,1,1,10,0.920590717299578,0.04306376485453804,0.3133229414621989,0.11192785979539387,2.0,0.7559289460184544,2.7333333333333334,0.7037315505489968,4.933333333333334,2.4043611170022654,0.8362573099415205,0.11662411689758301,0.007059335708618164,3,3,7
32,3,2,1,1,5,0.9162974683544304,0.03490186006001756,0.04385282198588054,0.007657254524338777,1.7333333333333334,0.5936168397046637,2.0,0.0,3.466666666666667,1.1872336794093274,0.8245614035087719,0.023718833923339844,0.005012035369873047,2,2,4
32,2,4,1,1,10,0.9155379746835443,0.04334379530597297,0.2530714988708496,0.09583449389328821,1.7333333333333334,0.45773770821706344,2.6,0.5070925528371101,4.0,1.2535663410560174,0.8128654970760234,0.09713554382324219,0.007246971130371094,2,3,5
32,3,4,1,1,5,0.9121518987341771,0.04169545914646104,0.11784812609354654,0.05333775509217283,1.6,0.5070925528371101,2.466666666666667,0.5163977794943223,3.7333333333333334,1.4375905768565214,0.9298245614035088,0.030672311782836914,0.0059778690338134766,1,3,3
32,2,4,10,10,5,0.9121518987341771,0.04169545914646104,0.09564898808797201,0.04844951762043899,1.6,0.5070925528371101,2.466666666666667,0.5163977794943223,3.7333333333333334,1.4375905768565214,0.9298245614035088,0.02947258949279785,0.005371809005737305,1,3,3
16,3,2,10,10,10,0.9121097046413502,0.030669909291152868,0.12523519198099772,0.02958565439500852,1.8,0.5606119105813882,1.8,0.41403933560541256,2.933333333333333,1.3345232785352157,0.8947368421052632,0.0581212043762207,0.007482767105102539,3,2,6
32,2,2,10,10,10,0.9096729957805905,0.03363246430083489,0.11749792098999023,0.0584448322125251,1.8666666666666667,0.3518657752744984,2.0,0.0,3.466666666666667,0.7432233529572067,0.9239766081871345,0.06049227714538574,0.007952213287353516,2,2,3
32,1,2,2,2,10,0.9087869198312234,0.03977992617844267,0.06895753542582193,0.03733238077486074,1.0,0.0,1.7333333333333334,0.45773770821706344,1.7333333333333334,0.45773770821706344,0.8771929824561403,0.025354623794555664,0.008260011672973633,1,1,1
32,4,3,10,10,15,0.9079746835443038,0.04153347754686562,0.2910931428273519,0.1415085110852136,1.8666666666666667,0.7432233529572065,2.533333333333333,0.5163977794943223,4.2,1.820517979665599,0.8888888888888888,0.12560319900512695,0.008498668670654297,1,1,1
32,3,2,2,5,10,0.9054324894514766,0.048571960987855434,0.21087524096171062,0.09119604137062877,1.6,0.5070925528371101,1.9333333333333333,0.2581988897471611,3.1333333333333333,1.1254628677422756,0.8771929824561403,0.15308666229248047,0.007551431655883789,2,2,4
