number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.8358860759493669,0.08590937887223489,0.12708965937296549,0.0159549563633631,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7798628691983123,0.1312258094247705,0.06233967145284017,0.025622768818974427,1.6666666666666667,0.48795003647426666,1.8,0.41403933560541256,3.0,1.2535663410560174
4,2,1,10,10,20,0.3718354430379748,0.00401180817117966,0.6212605953216552,0.060991136898695265,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.8360970464135021,0.09545407676157482,0.18408513069152832,0.04359029086631146,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.6776371308016879,0.16276158036204344,0.20776907602945963,0.06302174531450049,2.066666666666667,0.7988086367179801,1.8666666666666667,0.35186577527449836,3.6,1.8822478962286406
32,2,1,2,10,15,0.3718354430379748,0.00401180817117966,0.10513022740681967,0.039188706217033936,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.8853797468354431,0.04909901801867852,0.2343476136525472,0.07308851675444956,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.5604430379746835,0.19568242473179306,0.6308717091878255,0.1801318909093467,1.7333333333333334,0.7037315505489967,1.6666666666666667,0.6172133998483676,2.6,1.7237832147426695
4,2,4,5,1,5,0.3718354430379748,0.00401180817117966,0.6447622140248617,0.12952350451697434,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.4731329113924051,0.21064946740872123,0.7360760688781738,0.24121540843869316,1.9333333333333333,0.25819888974716115,1.1333333333333333,0.3518657752744984,2.066666666666667,0.4577377082170634
8,4,2,5,10,20,0.8677004219409281,0.05407762213437936,0.7136263529459635,0.22293635748129917,1.5333333333333334,0.6399404734221844,1.8666666666666667,0.35186577527449836,2.7333333333333334,1.3345232785352157
8,2,3,10,10,10,0.8509599156118143,0.056629639362761,0.24498704274495442,0.06273733942884553,1.6666666666666667,0.48795003647426666,2.1333333333333333,0.9154754164341268,3.2,1.7402791237532642
16,4,4,5,2,10,0.8561181434599153,0.07200650350296504,0.5211071014404297,0.17537085779921407,1.8666666666666667,0.35186577527449836,1.8666666666666667,0.35186577527449836,2.7333333333333334,0.7037315505489967
4,2,4,5,5,15,0.7494831223628693,0.1441785223382096,0.9037596066792806,0.12424986476744326,1.7333333333333334,0.45773770821706344,2.1333333333333333,0.35186577527449836,3.4,1.0555973258234952
8,1,2,10,5,10,0.8710864978902954,0.046065484006294705,0.0990350882212321,0.030575531774667878,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7311392405063292,0.20719848200157986,1.3789205392201742,0.26003554318506156,1.8,0.5606119105813882,1.8666666666666667,0.35186577527449836,3.1333333333333333,1.3020130933435712
4,3,4,5,2,15,0.3718354430379748,0.00401180817117966,3.3779311815897626,0.5245373966920142,2.0,0.0,1.0,0.0,2.0,0.0
8,2,1,5,5,10,0.3718354430379748,0.00401180817117966,0.09394208590189616,0.018327867634639415,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.7156751054852323,0.15410516843482708,0.938359546661377,0.20671112982523063,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115,3.0,0.6546536707079771
8,2,2,5,2,20,0.8409704641350211,0.09764523641075035,0.5479235172271728,0.2296852775186274,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222,1.9333333333333333,1.0327955589886444
32,4,2,10,5,20,0.8861603375527426,0.04614551689517513,0.30630768140157066,0.11012068832779925,1.8666666666666667,0.35186577527449836,1.9333333333333333,0.25819888974716115,2.8,0.560611910581388
4,2,1,10,2,10,0.3718354430379748,0.00401180817117966,0.13353927930196127,0.007180836047676542,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.8643354430379746,0.05725218067824333,0.14082485834757488,0.05074337502997506,1.7333333333333334,0.45773770821706344,1.7333333333333334,0.45773770821706344,2.466666666666667,0.9154754164341269
8,2,1,2,1,20,0.3718354430379748,0.00401180817117966,0.2979883670806885,0.03733781879762352,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.9054324894514766,0.048571960987855434,0.21087524096171062,0.09119604137062877,1.6,0.5070925528371101,1.9333333333333333,0.2581988897471611,3.1333333333333333,1.1254628677422756
16,4,2,2,5,15,0.851139240506329,0.09378792218726392,0.45128302574157714,0.11797657668716778,1.8,0.41403933560541256,2.0,0.0,3.533333333333333,0.833809387832792
8,1,1,10,5,10,0.8601582278481014,0.06304416664397626,0.03640224138895671,0.007531500875075027,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.8197468354430381,0.11191625344596903,0.16984322865804036,0.036338793110849546,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.7823628691983122,0.11645392820584453,1.3558223565419516,0.20257503985065933,1.5333333333333334,0.5163977794943222,1.9333333333333333,0.9611501047232549,2.466666666666667,1.4573295865416045
