number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,4,3,10,10,15,0.8693877551020408,0.05604951529188531,0.14231727917989095,1.3333333333333333,0.6172133998483675,2.8,0.4140393356054125,3.3333333333333335,0.9759000729485331,0.8962264150943396,1,3,3
32,3,3,2,10,15,0.8653061224489796,0.055516206158103855,0.20979957580566405,1.5333333333333334,0.6399404734221844,2.933333333333333,0.2581988897471611,4.4,1.9198214202665533,0.839622641509434,1,3,3
32,3,4,1,1,10,0.8598639455782312,0.050502718570499226,0.11336266199747722,1.2,0.41403933560541256,3.2,0.7745966692414833,3.6,1.2983506020002016,0.8773584905660378,1,3,3
32,2,4,1,1,10,0.8598639455782312,0.050502718570499226,0.10931013425191244,1.2,0.41403933560541256,3.2,0.7745966692414833,3.6,1.2983506020002016,0.8773584905660378,1,3,3
32,1,2,2,2,10,0.8571428571428572,0.04563404035713857,0.04904588063557943,1.0,0.0,2.0,0.0,2.0,0.0,0.8301886792452831,1,2,2
32,2,2,10,10,10,0.8503401360544218,0.04670792940990444,0.05672728220621745,1.2666666666666666,0.4577377082170635,2.0,0.0,2.466666666666667,0.833809387832792,0.8301886792452831,1,2,2
32,1,3,2,2,10,0.8489795918367345,0.059148476515058945,0.07104207674662272,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125,0.8490566037735849,1,3,3
32,4,3,1,5,20,0.8489795918367345,0.06014599164187816,0.26018892923990883,1.6,0.828078671210825,2.933333333333333,0.2581988897471611,4.466666666666667,2.099886618254378,0.839622641509434,2,3,6
32,1,4,1,1,20,0.8476190476190475,0.08011217616763357,0.19499165217081707,1.0,0.0,3.066666666666667,0.5936168397046636,3.066666666666667,0.5936168397046636,0.9056603773584906,1,4,4
32,1,4,2,5,15,0.8394557823129251,0.09599174250332834,0.27675724029541016,1.0,0.0,3.933333333333333,0.2581988897471611,3.933333333333333,0.2581988897471611,0.8584905660377359,1,4,4
