number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6693877551020407,0.11472219855147098,0.0558074951171875,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7605442176870749,0.07214000830110505,0.022544336318969727,1.9333333333333333,0.25819888974716115,1.4666666666666666,0.5163977794943222,2.4,0.6324555320336759
8,4,1,5,2,10,0.6489795918367347,0.09067945921976293,0.034437974294026695,1.9333333333333333,0.7988086367179803,1.0,0.0,1.9333333333333333,0.7988086367179803
4,2,1,10,10,20,0.6653061224489797,0.11225814923105076,0.14425557454427082,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
8,1,2,5,10,15,0.7578231292517008,0.09934235667505315,0.08279863993326823,1.0,0.0,2.0,0.0,2.0,0.0
4,4,3,2,2,5,0.6231292517006803,0.10850286823062251,0.07127641042073568,2.533333333333333,0.5163977794943223,1.9333333333333333,0.25819888974716115,3.6666666666666665,0.8997354108424374
32,2,1,2,10,15,0.8095238095238095,0.058575678001631236,0.18999660809834798,1.2,0.41403933560541256,1.0,0.0,1.2,0.41403933560541256
8,1,2,10,5,20,0.7129251700680271,0.10129954269546525,0.10217178662618001,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6136054421768706,0.10839314003646795,0.20624197324117025,3.1333333333333333,0.5163977794943223,2.466666666666667,0.5163977794943223,5.2,1.424279266355945
4,2,4,5,1,5,0.7170068027210885,0.06718624997568774,0.07778693834940592,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
32,4,2,10,1,20,0.7306122448979591,0.07759704020476103,0.10019817352294921,1.5333333333333334,0.7432233529572065,1.0,0.0,1.5333333333333334,0.7432233529572065
8,4,2,5,10,20,0.7102040816326531,0.08097401937001204,0.19479896227518717,1.6,0.9102589898327993,2.0,0.0,2.6,0.9102589898327993
8,2,3,10,10,10,0.7197278911564626,0.10188520690876954,0.10073582331339519,1.8666666666666667,0.3518657752744984,2.533333333333333,0.6399404734221844,3.6,1.0555973258234952
4,4,1,2,5,20,0.6639455782312924,0.06762759203211215,0.243437655766805,2.066666666666667,1.0327955589886446,1.0,0.0,2.066666666666667,1.0327955589886446
16,4,4,5,2,10,0.7605442176870748,0.07497115395635108,0.19017348289489747,1.4666666666666666,0.6399404734221844,1.0666666666666667,0.25819888974716115,1.5333333333333334,0.7432233529572065
4,2,4,5,5,15,0.6938775510204082,0.0743868852604844,0.30364306767781574,1.9333333333333333,0.25819888974716115,2.0,0.0,3.066666666666667,0.4577377082170634
8,1,2,10,5,10,0.674829931972789,0.13168895369007996,0.044289747873942055,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.6639455782312925,0.09155014130572661,0.35618112881978353,1.8666666666666667,1.0600988273786194,1.6666666666666667,0.48795003647426666,2.6,1.5023790657297036
4,3,4,5,2,15,0.7319727891156462,0.04746608780677058,0.4145817279815674,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
8,2,1,5,5,10,0.7197278911564626,0.0652088683035086,0.030169677734375,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
4,2,3,2,2,15,0.6734693877551019,0.09848015016941418,0.23165963490804037,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
8,2,2,5,2,20,0.6843537414965986,0.06936488504370635,0.1821703275044759,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
4,4,1,5,1,10,0.6707482993197277,0.060671294118955624,0.03575541178385417,1.9333333333333333,0.7988086367179803,1.0,0.0,1.9333333333333333,0.7988086367179803
32,4,2,10,5,20,0.8040816326530611,0.06257024374186078,0.1555540879567464,1.6666666666666667,0.816496580927726,1.4666666666666666,0.5163977794943222,2.2,1.0141851056742202
4,2,1,10,2,10,0.6707482993197277,0.07393224247954865,0.024801858266194663,1.6666666666666667,0.48795003647426666,1.0,0.0,1.6666666666666667,0.48795003647426666
32,3,2,5,1,10,0.7414965986394558,0.06797860265314933,0.050921297073364256,1.5333333333333334,0.6399404734221844,1.0,0.0,1.5333333333333334,0.6399404734221844
8,2,1,2,1,20,0.6857142857142856,0.08264676216863914,0.0815939744313558,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
32,3,2,2,5,10,0.8258503401360545,0.051667423194344086,0.17900602022806802,1.4,0.5070925528371101,2.0,0.0,2.7333333333333334,0.961150104723255
16,4,2,2,5,15,0.7809523809523811,0.07654194927366097,0.12322998046875,1.7333333333333334,0.9611501047232549,2.0,0.0,3.466666666666667,1.9223002094465098
8,1,1,10,5,10,0.6680272108843537,0.10975685809231395,0.018016703923543296,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6979591836734694,0.09421917811845335,0.04717837969462077,1.0,0.0,1.0,0.0,1.0,0.0
4,3,1,5,5,15,0.6476190476190475,0.12035791476762334,0.10582324663798014,1.6666666666666667,0.48795003647426666,1.0,0.0,1.6666666666666667,0.48795003647426666
4,2,3,1,5,20,0.640816326530612,0.0785875187038719,0.3524020195007324,1.5333333333333334,0.5163977794943222,1.4,0.8280786712108251,1.9333333333333333,1.162919151265879
4,2,1,5,2,5,0.6925170068027211,0.04906859422453603,0.0074686368306477865,2.0,0.0,1.0,0.0,2.0,0.0
