number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,4,2,5,15,0.9301587301587303,0.05048089654183902,0.013213729858398438,1.0,0.0,2.8666666666666667,0.7432233529572065,2.8666666666666667,0.7432233529572065,0.9111111111111111,1,4,4
32,4,4,2,5,5,0.9269841269841271,0.03539158823605744,0.017725753784179687,1.7333333333333334,0.7037315505489968,3.2,0.560611910581388,5.0,1.7320508075688772,0.8888888888888888,2,3,6
16,2,3,5,5,20,0.9174603174603175,0.06845669413602481,0.008394654591878254,1.4666666666666666,0.5163977794943222,2.066666666666667,0.2581988897471611,2.7333333333333334,0.7988086367179803,0.8444444444444444,1,2,2
32,2,4,1,1,10,0.9111111111111112,0.05653493711472987,0.006363296508789062,1.6,0.5070925528371101,2.4,0.6324555320336759,3.3333333333333335,0.9759000729485332,0.9111111111111111,2,3,5
32,3,4,1,1,10,0.9111111111111112,0.05653493711472987,0.008092530568440755,1.6666666666666667,0.6172133998483675,2.466666666666667,0.6399404734221844,3.533333333333333,1.3557637102737472,0.9111111111111111,2,3,5
32,1,3,10,5,20,0.9079365079365082,0.060946711754493746,0.005774386723836263,1.0,0.0,2.0,0.0,2.0,0.0,0.7555555555555555,1,2,2
32,4,2,10,5,20,0.9047619047619049,0.06489382322564256,0.009241644541422527,1.4,0.6324555320336759,2.0,0.0,2.533333333333333,0.915475416434127,0.8444444444444444,1,2,2
32,2,2,10,10,10,0.9047619047619049,0.09858079419176491,0.0038347244262695312,1.5333333333333334,0.5163977794943222,2.0,0.0,2.8,0.8618916073713347,0.8444444444444444,1,2,2
32,1,4,1,1,20,0.9015873015873017,0.08902645655380367,0.007866191864013671,1.0,0.0,2.1333333333333333,0.35186577527449836,2.1333333333333333,0.35186577527449836,0.9333333333333333,1,2,2
32,4,4,5,5,20,0.9015873015873017,0.08902645655380367,0.010382986068725586,1.0,0.0,2.1333333333333333,0.35186577527449836,2.1333333333333333,0.35186577527449836,0.9333333333333333,2,2,3
