number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6793650793650793,0.13036872612366354,0.0021675586700439452,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7619047619047618,0.11802279981562908,0.0020152886708577475,1.6666666666666667,0.48795003647426666,1.9333333333333333,0.25819888974716115,2.933333333333333,0.8837151016885368
8,4,1,5,2,10,0.6222222222222221,0.1433852671826821,0.002493413289388021,1.4,0.632455532033676,1.0,0.0,1.4,0.632455532033676
4,2,1,10,10,20,0.580952380952381,0.0921260245835657,0.004293584823608398,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
8,1,2,5,10,15,0.7269841269841268,0.13404410486647556,0.002575397491455078,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.6666666666666666,0.14171882078911333,0.0044081687927246095,2.0,0.6546536707079771,1.7333333333333334,0.5936168397046637,2.8666666666666667,1.1872336794093272
32,2,1,2,10,15,0.6285714285714286,0.07017032358219116,0.02738038698832194,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,1,2,10,5,20,0.6603174603174603,0.12581662844429306,0.006254339218139648,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6190476190476192,0.19384771222823138,0.008948659896850586,2.1333333333333333,0.6399404734221844,2.2,0.7745966692414833,3.6,1.4540583599999397
4,2,4,5,1,5,0.492063492063492,0.16165112853171534,0.005215899149576823,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
32,4,2,10,1,20,0.7079365079365078,0.09836148180844236,0.009208345413208007,1.1333333333333333,0.35186577527449836,1.0,0.0,1.1333333333333333,0.35186577527449836
8,4,2,5,10,20,0.7587301587301586,0.14892625806853418,0.010128593444824219,1.6666666666666667,0.7237468644557459,1.9333333333333333,0.25819888974716115,2.933333333333333,1.0327955589886444
8,2,3,10,10,10,0.8190476190476191,0.12752153854292628,0.004427750905354817,1.4666666666666666,0.5163977794943222,2.1333333333333333,0.5163977794943223,2.8666666666666667,1.0600988273786194
4,4,1,2,5,20,0.6222222222222221,0.12658667960239292,0.00860441525777181,1.4,0.7367883976130073,1.0,0.0,1.4,0.7367883976130073
16,4,4,5,2,10,0.7460317460317459,0.14133734278682467,0.01178429921468099,1.5333333333333334,0.6399404734221844,1.4666666666666666,0.5163977794943222,2.0,0.8451542547285166
4,2,4,5,5,15,0.5111111111111112,0.19002213454915115,0.011693684260050456,1.8,0.41403933560541256,1.8666666666666667,0.35186577527449836,2.8,0.6761234037828132
8,1,2,10,5,10,0.6888888888888888,0.1283655023438459,0.002699470520019531,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7365079365079364,0.14717583967206288,0.011115821202596028,1.6666666666666667,0.8997354108424372,2.0,0.0,2.8666666666666667,1.1254628677422756
4,3,4,5,2,15,0.45079365079365075,0.13809132843007316,0.01637126604715983,1.6,0.6324555320336759,1.0,0.0,1.6,0.6324555320336759
8,2,1,5,5,10,0.6,0.07593494564558272,0.001693121592203776,1.6,0.50709255283711,1.0,0.0,1.6,0.50709255283711
4,2,3,2,2,15,0.5619047619047618,0.2115854048461135,0.009056679407755534,1.6666666666666667,0.48795003647426666,1.6,0.50709255283711,2.2666666666666666,0.7988086367179801
8,2,2,5,2,20,0.5809523809523808,0.18634986305593396,0.00873878796895345,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
4,4,1,5,1,10,0.5238095238095238,0.1579345138264476,0.0020886739095052082,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
32,4,2,10,5,20,0.9047619047619049,0.06489382322564256,0.009241644541422527,1.4,0.6324555320336759,2.0,0.0,2.533333333333333,0.915475416434127
4,2,1,10,2,10,0.5238095238095238,0.1579345138264476,0.0021056652069091795,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
32,3,2,5,1,10,0.7428571428571428,0.11636431736997765,0.005071067810058593,1.3333333333333333,0.48795003647426666,1.1333333333333333,0.35186577527449836,1.4666666666666666,0.7432233529572065
8,2,1,2,1,20,0.6666666666666666,0.14398646590827702,0.0029630184173583983,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
