number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,4,1,1,2,20,0.9101851851851852,0.08734817179434395,0.002077976862589518,1.7333333333333334,0.5936168397046637,1.0,0.0,1.7333333333333334,0.5936168397046637,0.8888888888888888,2,1,2
32,2,1,2,10,15,0.9018518518518519,0.08406862556057945,0.0014455477396647135,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101,0.8888888888888888,2,1,2
16,2,3,2,2,15,0.9018518518518519,0.0695369753908096,0.005392916997273763,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222,0.8888888888888888,2,1,2
16,4,2,1,10,20,0.9018518518518519,0.08406862556057945,0.005528004964192709,1.3333333333333333,0.6172133998483676,1.5333333333333334,0.5163977794943222,1.8666666666666667,0.6399404734221844,1.0,1,2,2
32,4,3,1,5,20,0.9009259259259259,0.10756579272633196,0.009602769215901693,1.3333333333333333,0.48795003647426666,2.0,0.7559289460184544,2.3333333333333335,0.816496580927726,0.8333333333333334,2,3,4
32,3,4,1,1,5,0.8935185185185186,0.07972800616888696,0.005086056391398112,1.2666666666666666,0.5936168397046636,1.2666666666666666,0.5936168397046636,1.5333333333333334,0.7432233529572065,0.9444444444444444,1,1,1
32,3,3,2,10,15,0.8935185185185186,0.10402326990607337,0.009362729390462239,1.2666666666666666,0.4577377082170635,2.066666666666667,0.7037315505489967,2.3333333333333335,0.723746864455746,1.0,1,3,3
32,2,4,10,10,5,0.8935185185185186,0.07972800616888696,0.005105145772298177,1.2,0.41403933560541256,1.2666666666666666,0.5936168397046636,1.4666666666666666,0.6399404734221844,0.9444444444444444,1,1,1
32,3,2,2,10,15,0.8935185185185186,0.07972800616888696,0.00560148557027181,1.2666666666666666,0.4577377082170635,1.6666666666666667,0.48795003647426666,1.9333333333333333,0.45773770821706344,0.8888888888888888,2,2,4
32,3,2,1,1,5,0.8935185185185186,0.0642215860168777,0.0034938812255859374,1.1333333333333333,0.35186577527449836,1.0666666666666667,0.25819888974716115,1.2,0.41403933560541256,0.9444444444444444,1,1,1
