number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7805555555555554,0.22616784904924622,0.0009979565938313803,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.8453703703703703,0.11946136215862778,0.0018875757853190104,1.5333333333333334,0.5163977794943222,1.0666666666666667,0.25819888974716115,1.6,0.6324555320336759
8,4,1,5,2,10,0.7157407407407407,0.18543963999723612,0.0012651920318603516,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
4,2,1,10,10,20,0.7194444444444444,0.20196619498159565,0.0025230566660563152,1.2,0.5606119105813882,0.9333333333333333,0.25819888974716115,1.2,0.5606119105813882
8,1,2,5,10,15,0.7962962962962963,0.12693244649401933,0.003915262222290039,1.0,0.0,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222
4,4,3,2,2,5,0.6111111111111112,0.3115395292846131,0.005608669916788737,1.4,0.7367883976130074,1.4666666666666666,0.6399404734221844,2.0,1.1952286093343936
32,2,1,2,10,15,0.9018518518518519,0.08406862556057945,0.0014455477396647135,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
8,1,2,10,5,20,0.7342592592592593,0.20384494862650104,0.0033378442128499347,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6574074074074073,0.26277263214085667,0.008522955576578777,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
4,2,4,5,1,5,0.6148148148148148,0.23811397633495499,0.009144465128580729,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
32,4,2,10,1,20,0.8435185185185186,0.1533598819129843,0.0035667896270751955,1.4,0.6324555320336759,1.0,0.0,1.4,0.6324555320336759
8,4,2,5,10,20,0.8453703703703703,0.11547323583921645,0.006296857198079427,1.4,0.5070925528371101,1.3333333333333333,0.48795003647426666,1.7333333333333334,0.883715101688537
8,2,3,10,10,10,0.8027777777777778,0.125132205219395,0.0041210015614827475,1.5333333333333334,0.5163977794943222,1.2,0.41403933560541256,1.7333333333333334,0.7988086367179803
4,4,1,2,5,20,0.7935185185185186,0.13216529831531873,0.004941638310750326,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
16,4,4,5,2,10,0.8046296296296297,0.18488898268974013,0.009128379821777343,1.1333333333333333,0.5163977794943223,1.0,0.0,1.1333333333333333,0.5163977794943223
4,2,4,5,5,15,0.612037037037037,0.36044148332867293,0.012540658315022787,1.2666666666666666,0.45773770821706344,1.2,0.41403933560541256,1.4666666666666666,0.5163977794943222
8,1,2,10,5,10,0.7657407407407407,0.1880955171564916,0.001308457056681315,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7148148148148148,0.17202583101770205,0.007610670725504557,1.5333333333333334,0.6399404734221844,1.4,0.5070925528371101,1.9333333333333333,0.8837151016885368
4,3,4,5,2,15,0.562037037037037,0.2926978495960335,0.01153407096862793,1.0666666666666667,0.4577377082170634,0.9333333333333333,0.25819888974716115,1.0666666666666667,0.4577377082170634
8,2,1,5,5,10,0.8138888888888889,0.11956896425663259,0.002083905537923177,1.4,0.50709255283711,1.0,0.0,1.4,0.50709255283711
4,2,3,2,2,15,0.6888888888888889,0.26580341424905557,0.007549571990966797,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
8,2,2,5,2,20,0.750925925925926,0.1685955402797891,0.004681142171223959,1.0666666666666667,0.25819888974716115,1.0,0.0,1.0666666666666667,0.25819888974716115
4,4,1,5,1,10,0.6398148148148147,0.21183997681965874,0.0017464637756347656,1.4,0.50709255283711,1.0,0.0,1.4,0.50709255283711
32,4,2,10,5,20,0.8601851851851853,0.15603196133191452,0.005454047520955404,1.4666666666666666,0.6399404734221844,1.0,0.0,1.4666666666666666,0.6399404734221844
4,2,1,10,2,10,0.6398148148148147,0.21183997681965874,0.0014628092447916666,1.4,0.50709255283711,1.0,0.0,1.4,0.50709255283711
32,3,2,5,1,10,0.8185185185185185,0.1635342769255756,0.004559501012166341,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,2,1,2,1,20,0.8222222222222222,0.20788311140411256,0.001491101582845052,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
32,3,2,2,5,10,0.8851851851851852,0.08791421651257877,0.004636081059773763,1.3333333333333333,0.48795003647426666,1.6666666666666667,0.48795003647426666,2.0,0.5345224838248488
16,4,2,2,5,15,0.8925925925925926,0.07986614315869564,0.004618358612060547,1.2,0.4140393356054126,1.6666666666666667,0.48795003647426666,1.8666666666666667,0.7432233529572065
8,1,1,10,5,10,0.6990740740740741,0.2442384292998438,0.0008396148681640625,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.787962962962963,0.1340903882325028,0.0015608787536621094,1.0,0.0,1.0,0.0,1.0,0.0
4,3,1,5,5,15,0.7277777777777777,0.268946930637102,0.002044423421223958,1.4,0.6324555320336759,1.0,0.0,1.4,0.6324555320336759
4,2,3,1,5,20,0.7037037037037038,0.2827270720955254,0.012156343460083008,1.5333333333333334,0.5163977794943222,1.1333333333333333,0.3518657752744984,1.6666666666666667,0.7237468644557459
