number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,3,10,5,20,0.8110000000000002,0.014904457626591316,0.6979061603546143,0.20339027055974998,1.0,0.0,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,0.8298368298368298,0.31578850746154785,0.02323293685913086,1,2,2
32,1,2,5,2,10,0.81,0.02211980366743143,0.3155546188354492,0.15789510345993882,1.0,0.0,1.8,0.41403933560541256,1.8,0.41403933560541256,0.8321678321678322,0.13183808326721191,0.017911195755004883,1,2,2
32,2,4,2,1,15,0.8079999999999998,0.02366431913239844,1.4846404711405436,0.4428701660256552,2.0,0.0,2.2,0.4140393356054125,4.0,0.5345224838248488,0.8298368298368298,0.9576282501220703,0.020595312118530273,2,2,4
32,2,4,5,2,10,0.8076666666666666,0.02290248478929325,2.2610241254170735,0.5188070050434633,2.0,0.0,1.8,0.4140393356054126,3.3333333333333335,0.8164965809277261,0.8298368298368298,0.6570618152618408,0.017717361450195312,2,2,3
16,1,1,10,5,20,0.8069999999999999,0.042920191718384196,0.15945010185241698,0.03584541722690241,1.0,0.0,1.0,0.0,1.0,0.0,0.5524475524475524,0.09792017936706543,0.02291417121887207,1,1,1
32,1,1,10,5,10,0.8066666666666668,0.039671268240497694,0.10166435241699219,0.03519382980105418,1.0,0.0,1.0,0.0,1.0,0.0,0.7645687645687645,0.08048582077026367,0.017847537994384766,1,1,1
32,2,4,5,2,15,0.8033333333333333,0.019241572057347455,2.443644952774048,0.49465538320215996,2.0,0.0,1.9333333333333333,0.25819888974716115,3.4,0.6324555320336759,0.8088578088578089,1.7777421474456787,0.020462989807128906,2,2,3
32,1,1,5,1,5,0.7969999999999999,0.041867136788382636,0.02950571378072103,0.012905683687772614,1.0,0.0,1.0,0.0,1.0,0.0,0.8181818181818182,0.0274813175201416,0.016028165817260742,1,1,1
32,1,3,2,1,5,0.7959999999999999,0.061272226287982325,0.19802358945210774,0.06699300344269708,1.0,0.0,1.6,0.7367883976130073,1.6,0.7367883976130073,0.8251748251748252,0.11035037040710449,0.015304327011108398,1,1,1
32,1,3,10,5,5,0.7959999999999999,0.061272226287982325,0.1899819533030192,0.06857142336259878,1.0,0.0,1.6,0.7367883976130073,1.6,0.7367883976130073,0.8251748251748252,0.12584137916564941,0.015008211135864258,1,1,1
