number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7530000000000001,0.1319469590403659,0.13856555620829264,0.04231699907801349,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.6759999999999999,0.113754120804479,0.09625738461812337,0.016424645924402147,2.0,0.0,2.0,0.0,3.933333333333333,0.2581988897471611
8,1,2,5,10,15,0.6839999999999999,0.0962363162814775,0.37572178840637205,0.08620176151139945,1.0,0.0,2.0,0.0,2.0,0.0
32,2,1,2,10,15,0.7336666666666666,0.05462425764996285,10.28551106452942,2.4774358307067925,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.756,0.1394786209936337,0.45686818758646647,0.0831759642343642,1.0,0.0,1.0,0.0,1.0,0.0
32,4,2,10,1,20,0.6783333333333332,0.055183675985186906,1.4258959293365479,0.1859213146331211,4.0,0.0,1.0,0.0,4.0,0.0
8,2,3,10,10,10,0.6883333333333332,0.10167642419998472,0.34338420232137046,0.08565787506864152,2.0,0.0,3.0,0.0,5.866666666666666,0.3518657752744984
16,4,4,5,2,10,0.7026666666666668,0.06391586731976728,2.136864995956421,0.2156078514403856,4.0,0.0,2.0,0.0,6.333333333333333,0.816496580927726
8,1,2,10,5,10,0.7823333333333333,0.038815804341359034,0.204029115041097,0.055212160102759644,1.0,0.0,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611
8,2,1,5,5,10,0.7236666666666667,0.05932557466661246,0.17591344515482585,0.04728700061348972,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,5,2,20,0.7336666666666667,0.06604832285819945,0.9884048302968343,0.2966440762970501,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.7546666666666667,0.04517690096667081,2.294054889678955,0.4418144596804193,4.0,0.0,2.0,0.0,7.333333333333333,0.816496580927726
32,3,2,5,1,10,0.7083333333333334,0.06289636222352116,0.7395795981089274,0.29018256729518455,3.0,0.0,1.1333333333333333,0.3518657752744984,3.1333333333333333,0.3518657752744984
8,2,1,2,1,20,0.735,0.11337359228926032,0.2354661464691162,0.03909353661411715,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.7156666666666667,0.06488634752579385,20.136490774154662,5.778929582824807,3.0,0.0,2.0,0.0,6.0,0.0
16,4,2,2,5,15,0.6753333333333333,0.05163286144455274,1.7144256114959717,0.3185832142525239,4.0,0.0,2.0,0.0,8.0,0.0
8,1,1,10,5,10,0.7436666666666666,0.14314661148959268,0.0729477564493815,0.05322035959349623,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6699999999999999,0.08529361054615991,0.2040202299753825,0.051124181547122075,1.0,0.0,1.0,0.0,1.0,0.0
32,4,4,5,5,20,0.7553333333333333,0.03957211620513087,15.583593956629436,4.973294729403333,4.0,0.0,3.8,0.4140393356054125,12.666666666666666,1.5886502207249786
8,2,2,5,5,10,0.6783333333333333,0.10360754706836667,0.22248884836832683,0.049971348969835114,2.0,0.0,2.0,0.0,3.933333333333333,0.2581988897471611
8,2,2,1,5,20,0.6496666666666666,0.10804209937841469,0.9585470994313557,0.3364691713049666,2.0,0.0,2.0,0.0,4.0,0.0
32,4,4,2,5,5,0.721,0.03878512233171006,18.354996156692504,9.842975998800892,4.0,0.0,4.0,0.0,15.8,0.41403933560541245
32,4,3,10,2,10,0.7063333333333335,0.05211480001834777,1.8611699263254802,0.8018184678307769,4.0,0.0,1.2666666666666666,0.45773770821706344,4.333333333333333,0.6172133998483675
8,2,3,1,5,5,0.659,0.12967266481413883,0.30588059425354003,0.06545944055373154,2.0,0.0,3.0,0.0,5.933333333333334,0.2581988897471611
32,2,1,10,1,5,0.747,0.07232861516321581,0.03143413861592611,0.008340298369181067,2.0,0.0,1.0,0.0,2.0,0.0
16,1,3,2,5,10,0.7473333333333335,0.07323803331473014,0.40256230036417645,0.06450761511185892,1.0,0.0,3.0,0.0,3.0,0.0
16,2,3,2,2,10,0.7466666666666665,0.05239501975606169,0.4338618596394857,0.0885564880327576,2.0,0.0,3.0,0.0,5.866666666666666,0.3518657752744984
32,3,4,2,1,20,0.7763333333333333,0.029366323439970355,4.105737733840942,1.1030713550946007,3.0,0.0,2.2,0.4140393356054125,6.133333333333334,0.5163977794943222
16,2,4,2,2,15,0.7380000000000001,0.0767835547869092,0.9802604198455811,0.13556174369443294,2.0,0.0,4.0,0.0,7.4,0.5070925528371099
32,1,3,10,5,20,0.8110000000000002,0.014904457626591316,0.6979061603546143,0.20339027055974998,1.0,0.0,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611
32,4,3,10,10,15,0.7073333333333333,0.048398150299169,7.783653370539347,2.246759966554459,4.0,0.0,3.0,0.0,10.666666666666666,0.9759000729485332
8,1,1,10,2,15,0.7146666666666666,0.14875035013964394,0.05716602007548014,0.007297981629716558,1.0,0.0,1.0,0.0,1.0,0.0
