number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,2,2,2,10,0.8571428571428572,0.04563404035713857,0.11590038935343425,0.05157568102060447,1.0,0.0,2.0,0.0,2.0,0.0,0.8301886792452831,0.13367557525634766,0.005990505218505859,1,2,2
32,1,3,2,2,10,0.8489795918367345,0.059148476515058945,0.14887696901957195,0.05571473564479284,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125,0.8490566037735849,0.10973763465881348,0.006353616714477539,1,3,3
32,1,4,1,1,20,0.8476190476190475,0.08011217616763357,0.46286983489990235,0.21661047763074243,1.0,0.0,3.066666666666667,0.5936168397046636,3.066666666666667,0.5936168397046636,0.9056603773584906,0.30162739753723145,0.009660005569458008,1,4,4
32,1,4,2,5,15,0.8394557823129251,0.09599174250332834,0.6567128499348959,0.8036616677444386,1.0,0.0,3.933333333333333,0.2581988897471611,3.933333333333333,0.2581988897471611,0.8584905660377359,0.7710387706756592,0.007788896560668945,1,4,4
32,1,3,10,5,5,0.8299319727891155,0.06665278211654907,0.08559513092041016,0.04473207553706625,1.0,0.0,1.5333333333333334,0.5163977794943222,1.5333333333333334,0.5163977794943222,0.8018867924528302,0.03559231758117676,0.004659414291381836,1,1,1
32,1,3,2,1,5,0.8299319727891155,0.06665278211654907,0.07783166567484538,0.040278575269257204,1.0,0.0,1.5333333333333334,0.5163977794943222,1.5333333333333334,0.5163977794943222,0.8018867924528302,0.030901193618774414,0.0045318603515625,1,1,1
32,2,4,1,1,10,0.8258503401360546,0.0644747863602386,1.0196427822113037,0.9227135691880088,2.0,0.0,3.066666666666667,0.45773770821706344,5.4,0.6324555320336759,0.8584905660377359,0.5184605121612549,0.0059757232666015625,2,4,7
16,1,3,2,10,15,0.8258503401360545,0.05765424373341159,0.19842564264933268,0.0624465493831475,1.0,0.0,2.933333333333333,0.2581988897471611,2.933333333333333,0.2581988897471611,0.7830188679245284,0.07056379318237305,0.007800102233886719,1,3,3
32,1,1,1,10,20,0.8258503401360543,0.048703465258772415,0.9036000728607178,1.0652177954732707,1.0,0.0,1.0,0.0,1.0,0.0,0.8018867924528302,1.9887301921844482,0.009001970291137695,1,1,1
32,1,2,1,2,20,0.8217687074829932,0.053700270812182684,0.48292905489603677,0.27632613181676996,1.0,0.0,2.0,0.0,2.0,0.0,0.8301886792452831,0.36449098587036133,0.00898289680480957,1,2,2
