number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6693877551020407,0.11472219855147098,0.1500392436981201,0.05570225186364028,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.6952380952380952,0.1268562223164392,0.07938995361328124,0.02471721081049917,2.0,0.0,1.6,0.50709255283711,3.0,0.9258200997725514
4,2,1,10,10,20,0.6734693877551019,0.027811638525275385,0.3947097142537435,0.038259214636690145,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.7578231292517008,0.09934235667505315,0.27722423871358237,0.14114026943690572,1.0,0.0,2.0,0.0,2.0,0.0
4,4,3,2,2,5,0.6421768707482992,0.07708416584606961,0.31658709843953453,0.12751885623955883,4.0,0.0,1.0,0.0,4.0,0.0
32,2,1,2,10,15,0.7646258503401362,0.07393224247954866,3.7271795431772867,2.1586909484099657,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.7129251700680271,0.10129954269546525,0.2912244478861491,0.07508595004201755,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.5482993197278911,0.09752901988719195,0.7992749214172363,0.22266330819610114,4.0,0.0,1.0666666666666667,0.25819888974716115,4.066666666666666,0.2581988897471611
4,2,4,5,1,5,0.6258503401360542,0.14608324527979438,0.24128328959147136,0.05865065136176837,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.6979591836734694,0.07526158740647254,0.9986902236938476,0.36044127473599313,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,5,10,20,0.7006802721088435,0.11035155521551104,0.8679866631825764,0.14595806526959168,4.0,0.0,2.0,0.0,7.2,0.8618916073713346
8,2,3,10,10,10,0.6965986394557823,0.12362570320114483,0.2667016347249349,0.06323672206527277,2.0,0.0,2.2,0.4140393356054125,3.8666666666666667,0.6399404734221844
16,4,4,5,2,10,0.654421768707483,0.08033467608245941,1.132479731241862,0.29052736104471094,4.0,0.0,1.0,0.0,4.0,0.0
4,2,4,5,5,15,0.6421768707482992,0.13512314903556488,0.7679478645324707,0.06393055066940315,2.0,0.0,2.0,0.0,3.066666666666667,0.2581988897471611
8,1,2,10,5,10,0.674829931972789,0.13168895369007996,0.13429055213928223,0.0522627365738238,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.5904761904761904,0.10617476470817236,1.7668476263682047,0.2930960018481646,4.0,0.0,1.7333333333333334,0.4577377082170635,5.4,1.1832159566199232
4,3,4,5,2,15,0.5836734693877551,0.08582527868498527,1.4432676474253336,0.25990880900695285,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.6897959183673469,0.06083452092486267,0.1043575127919515,0.034209384183191194,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.6802721088435374,0.0679786026531493,0.6100587844848633,0.07937587136252705,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,5,2,20,0.6748299319727891,0.06096478771412674,0.6209037144978841,0.1601721835711447,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.8027210884353742,0.05857567800163124,1.5257603168487548,0.8744553267489378,4.0,0.0,1.9333333333333333,0.25819888974716115,6.0,1.1338934190276817
4,2,1,10,2,10,0.6054421768707484,0.08331597764568632,0.08273574511210123,0.004107591445670156,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.7170068027210884,0.047466087806770585,0.38685681025187174,0.16163761525688566,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,2,1,20,0.6666666666666666,0.07344778864019895,0.30744298299153644,0.10517783783407052,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.7442176870748299,0.08048266762837919,0.7901658058166504,0.3844199436153505,3.0,0.0,2.0,0.0,5.866666666666666,0.3518657752744984
8,1,1,10,5,10,0.6680272108843537,0.10975685809231395,0.060297886530558266,0.03431415885583876,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6979591836734694,0.09421917811845335,0.17203327814737956,0.06991497607809799,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.5836734693877551,0.09503657702594802,0.9175254027048747,0.14426924510982272,2.0,0.0,3.0,0.0,5.933333333333334,0.2581988897471611
4,2,1,5,2,5,0.6353741496598639,0.10877670445705749,0.025765005747477213,0.004460374539087574,2.0,0.0,1.0,0.0,2.0,0.0
32,4,4,5,5,20,0.7428571428571425,0.09658905768325902,3.9238518873850503,2.4204202647919337,4.0,0.0,2.8666666666666667,0.5163977794943223,8.466666666666667,1.3020130933435712
8,2,2,5,5,10,0.7142857142857145,0.11544600509168124,0.19811232884724936,0.08304397626623572,2.0,0.0,1.8666666666666667,0.35186577527449836,3.0,0.5345224838248488
4,2,1,1,5,20,0.6,0.10984717067082371,0.7499772548675537,0.17809243553994583,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,1,5,20,0.6530612244897959,0.0751824895523477,0.5115209897359212,0.07475084844484843,2.0,0.0,2.0,0.0,4.0,0.0
4,3,4,1,5,20,0.5850340136054422,0.1543997192959136,1.4769470691680908,0.5264789901907521,3.0,0.0,3.7333333333333334,0.4577377082170635,9.933333333333334,1.0997835284835875
32,4,4,2,5,5,0.7170068027210885,0.09599174250332834,1.4374390443166096,0.8481196254154078,4.0,0.0,3.8,0.4140393356054125,11.666666666666666,1.4960264830861911
4,3,2,2,1,5,0.5999999999999999,0.08547794711555248,0.18138426144917805,0.03416050966669208,3.0,0.0,1.0,0.0,3.0,0.0
32,4,3,10,2,10,0.6965986394557824,0.06806607247614628,0.8761475880940756,0.36430055409923456,4.0,0.0,1.0,0.0,4.0,0.0
4,2,2,1,5,5,0.6081632653061225,0.11368019514153876,0.17930750846862792,0.05268584619783432,2.0,0.0,1.6,0.5070925528371101,3.0,0.9258200997725514
8,2,3,1,5,5,0.6789115646258504,0.07692963679153755,0.15369343757629395,0.05677130742770322,2.0,0.0,2.933333333333333,0.2581988897471611,5.333333333333333,0.6172133998483675
32,2,1,10,1,5,0.6557823129251701,0.10141694610673734,0.04103204409281413,0.028247333993796815,2.0,0.0,1.0,0.0,2.0,0.0
16,1,3,2,5,10,0.7891156462585033,0.08402707996585922,0.14426836967468262,0.05041817926392623,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125
16,2,3,2,2,10,0.7741496598639458,0.08288638796049123,0.27878565788269044,0.10172860106312348,2.0,0.0,2.2,0.4140393356054125,4.133333333333334,0.5163977794943222
32,3,4,2,1,20,0.7591836734693878,0.07119913171015586,2.7882007122039796,1.7458421925043417,3.0,0.0,2.0,0.0,5.266666666666667,0.7988086367179803
16,2,4,2,2,15,0.727891156462585,0.10872199238831483,0.6030654271443685,0.13225848908363483,2.0,0.0,2.533333333333333,0.6399404734221845,4.6,1.0555973258234952
32,1,3,10,5,20,0.8163265306122448,0.046281364041946195,0.3623635768890381,0.11788427278557922,1.0,0.0,1.6,0.5070925528371101,1.6,0.5070925528371101
32,4,3,10,10,15,0.7496598639455783,0.07731538032722911,1.5309207280476889,0.5169382362280742,4.0,0.0,2.6666666666666665,0.4879500364742666,8.333333333333334,1.0465362369445672
