number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7805555555555554,0.22616784904924622,0.0023601531982421877,0.001353573895631956,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7712962962962963,0.11523434191564305,0.00688320795694987,0.0011279791951279898,2.0,0.0,1.1333333333333333,0.35186577527449836,2.2,0.560611910581388
4,2,1,10,10,20,0.6555555555555556,0.30001285980668013,0.009902509053548177,0.012177262987984088,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.7962962962962963,0.12693244649401933,0.005129289627075195,0.001220776438507218,1.0,0.0,1.4666666666666666,0.5163977794943222,1.4666666666666666,0.5163977794943222
4,4,3,2,2,5,0.7583333333333333,0.16314061084391457,0.02138692537943522,0.0055715245251781766,4.0,0.0,1.2,0.41403933560541256,4.2,0.4140393356054125
32,2,1,2,10,15,0.8935185185185186,0.09011228217064073,0.0036311626434326174,0.0006716684584944933,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.7342592592592593,0.20384494862650104,0.00459125836690267,0.001323283020669803,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.5990740740740741,0.21036487435998313,0.04104851086934407,0.01884013693975916,4.0,0.0,1.0,0.0,4.0,0.0
4,2,4,5,1,5,0.6351851851851852,0.3130161815682607,0.02803215980529785,0.02314920088631525,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.8870370370370371,0.10378457258836025,0.01852078437805176,0.021606552595896292,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,5,10,20,0.8537037037037037,0.1558906066648202,0.05565624237060547,0.06396537175022389,4.0,0.0,1.2,0.41403933560541256,4.2,0.4140393356054125
8,2,3,10,10,10,0.8203703703703705,0.13913338268561798,0.019858090082804362,0.017587729970867154,2.0,0.0,1.0,0.0,2.0,0.0
16,4,4,5,2,10,0.8277777777777778,0.13319685475416496,0.06231358846028646,0.03648481299987336,4.0,0.0,1.0,0.0,4.0,0.0
4,2,4,5,5,15,0.6333333333333333,0.25934900185253223,0.035247182846069335,0.02464351015272959,2.0,0.0,1.2666666666666666,0.45773770821706344,2.2666666666666666,0.45773770821706344
8,1,2,10,5,10,0.7657407407407407,0.1880955171564916,0.0028373082478841145,0.0011602484991003433,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7305555555555556,0.26626954557266014,0.04029688835144043,0.024847474569461184,4.0,0.0,1.2,0.41403933560541256,4.2,0.4140393356054125
4,3,4,5,2,15,0.6268518518518519,0.18787562805402955,0.055727020899454756,0.03468731843701813,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.8194444444444444,0.16641846598291257,0.006398852666219076,0.011590698186521878,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.8009259259259259,0.1759694321030942,0.02379889488220215,0.013569322298006177,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,5,2,20,0.8175925925925925,0.16050675738172815,0.014162206649780273,0.012916598627970182,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.8703703703703703,0.10441988622682821,0.014820384979248046,0.004658723994053087,4.0,0.0,1.0666666666666667,0.25819888974716115,4.066666666666666,0.2581988897471611
4,2,1,10,2,10,0.5388888888888889,0.27991243276717215,0.00404210090637207,0.0016230594670260268,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.862037037037037,0.1362311855635377,0.006815258661905924,0.00267910954527662,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,2,1,20,0.787037037037037,0.16771057555984636,0.004289754231770833,0.0010948506646522077,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.862037037037037,0.10891513828948876,0.0099334716796875,0.008749528597042646,3.0,0.0,1.2666666666666666,0.4577377082170635,3.2666666666666666,0.4577377082170635
16,4,2,2,5,15,0.9018518518518519,0.1173199146567772,0.014887714385986328,0.004143249917197232,4.0,0.0,1.6,0.50709255283711,4.8,0.7745966692414833
8,1,1,10,5,10,0.6990740740740741,0.2442384292998438,0.0015853087107340494,0.0011709382312750486,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.787962962962963,0.1340903882325028,0.0034960428873697918,0.0011972280317419928,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.700925925925926,0.149391279070094,0.02533744176228841,0.011860924632720498,2.0,0.0,2.3333333333333335,0.6172133998483676,4.066666666666666,1.2227992865708155
4,2,1,5,2,5,0.6148148148148148,0.22902933996662891,0.0034299214680989583,0.00139081943784954,2.0,0.0,1.0,0.0,2.0,0.0
32,4,4,5,5,20,0.8703703703703703,0.14082643242017878,0.03524653116861979,0.02847500553085877,4.0,0.0,1.1333333333333333,0.3518657752744984,4.133333333333334,0.3518657752744984
8,2,2,5,5,10,0.8277777777777777,0.1396605547273002,0.010950994491577149,0.01098903844132925,2.0,0.0,1.3333333333333333,0.48795003647426666,2.3333333333333335,0.4879500364742666
4,2,1,1,5,20,0.7203703703703704,0.2134856709178459,0.01207124392191569,0.0027317634567429272,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,1,5,20,0.7555555555555556,0.1525792360723545,0.012354516983032226,0.002826596713076438,2.0,0.0,1.3333333333333333,0.48795003647426666,2.3333333333333335,0.4879500364742666
4,3,4,1,5,20,0.6564814814814814,0.1980578838068216,0.0702367623647054,0.03346906364401687,3.0,0.0,2.3333333333333335,0.723746864455746,5.2,1.2071217242444348
32,4,4,2,5,5,0.9092592592592593,0.08766309231519386,0.03900450070699056,0.04453495284202683,4.0,0.0,1.4666666666666666,0.5163977794943222,4.733333333333333,0.9611501047232549
4,3,2,2,1,5,0.6805555555555555,0.15965750931975278,0.01737829844156901,0.012353778461294975,3.0,0.0,1.0,0.0,3.0,0.0
32,4,3,10,2,10,0.9037037037037037,0.11494701383939372,0.01814893086751302,0.014457698861401694,4.0,0.0,1.0,0.0,4.0,0.0
4,2,2,1,5,5,0.6388888888888888,0.1657547805232595,0.014145930608113607,0.011171314984139022,2.0,0.0,1.4,0.50709255283711,2.4,0.50709255283711
8,2,3,1,5,5,0.850925925925926,0.13552134402181498,0.008943478266398111,0.0017646489282757347,2.0,0.0,1.8666666666666667,0.833809387832792,3.066666666666667,1.0327955589886444
32,2,1,10,1,5,0.8444444444444446,0.109386416007906,0.002501026789347331,0.0012663427630195167,2.0,0.0,1.0,0.0,2.0,0.0
16,1,3,2,5,10,0.8518518518518519,0.11816249436046189,0.005204025904337565,0.001606888251370118,1.0,0.0,1.8,0.7745966692414835,1.8,0.7745966692414835
16,2,3,2,2,10,0.8675925925925926,0.15294603529328293,0.007603915532430013,0.002365721053571867,2.0,0.0,1.1333333333333333,0.35186577527449836,2.1333333333333333,0.35186577527449836
32,3,4,2,1,20,0.8768518518518519,0.12509549556236677,0.024792242050170898,0.018105154465959943,3.0,0.0,1.0,0.0,3.0,0.0
16,2,4,2,2,15,0.8703703703703703,0.12396692443514706,0.022324132919311523,0.021100182793010777,2.0,0.0,1.6,0.5070925528371101,2.6666666666666665,0.6172133998483678
32,1,3,10,5,20,0.8212962962962963,0.13787993311327215,0.012919871012369792,0.016658182475789585,1.0,0.0,1.0,0.0,1.0,0.0
32,4,3,10,10,15,0.8944444444444444,0.12162552758132492,0.01690187454223633,0.004422303254775194,4.0,0.0,1.3333333333333333,0.48795003647426666,4.333333333333333,0.4879500364742665
8,1,1,10,2,15,0.7564814814814814,0.21413011203350796,0.0017247994740804036,0.0007261936763698843,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.8231481481481482,0.11767172274062043,0.0021503925323486327,0.00142245961367105,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.7157407407407407,0.18889958730985057,0.04069021542867025,0.024587172463943853,2.6666666666666665,0.4879500364742666,2.2,0.560611910581388,4.533333333333333,1.0600988273786194
16,1,1,2,5,20,0.8527777777777779,0.08558466831001597,0.005368264516194662,0.01070329215665399,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.8777777777777779,0.1337542957822725,0.0070607662200927734,0.012581362567519199,2.0,0.0,1.0,0.0,2.0,0.0
4,3,2,5,10,15,0.8037037037037037,0.16673830030251569,0.02770236333211263,0.020181510213104402,3.0,0.0,1.2,0.41403933560541256,3.2,0.4140393356054125
32,2,4,5,2,15,0.8527777777777779,0.12563770314479294,0.017152738571166993,0.015280182450589546,2.0,0.0,1.0,0.0,2.0,0.0
8,3,4,5,5,20,0.8055555555555556,0.1193613590690082,0.04038907686869304,0.020215785130259012,3.0,0.0,1.4666666666666666,0.5163977794943222,3.466666666666667,0.5163977794943223
8,3,3,1,5,10,0.7833333333333333,0.1722606203994053,0.02022215525309245,0.005056259729408489,3.0,0.0,2.1333333333333333,0.5163977794943223,5.2,1.0823255385643322
32,3,3,2,10,15,0.9101851851851852,0.12684557586915632,0.021103938420613606,0.020453907317322606,3.0,0.0,1.2,0.41403933560541256,3.2,0.4140393356054125
16,1,4,5,2,20,0.7722222222222223,0.12162552758132489,0.010464127858479817,0.005351388544808625,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,10,20,0.7814814814814816,0.10346545288747862,0.014782381057739259,0.011906367341244742,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
16,2,1,5,2,5,0.8194444444444445,0.14810680640096446,0.0023371219635009766,0.0009168984381710715,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,10,1,10,0.775,0.16130598504484414,0.0169406255086263,0.015617725104028838,2.0,0.0,1.0,0.0,2.0,0.0
4,2,2,10,2,20,0.5351851851851852,0.2876646577534331,0.019984022776285807,0.013172488416672621,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,10,2,10,0.775,0.16130598504484414,0.014133040110270183,0.017156226086633974,2.0,0.0,1.0,0.0,2.0,0.0
8,2,3,2,5,20,0.837037037037037,0.11964576365067507,0.018636274337768554,0.0031157409959596274,2.0,0.0,1.7333333333333334,0.7037315505489967,2.8666666666666667,0.9154754164341269
4,1,2,5,2,15,0.712037037037037,0.28988812738061126,0.004855108261108398,0.0017104915458869472,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,5,15,0.8777777777777779,0.1337542957822725,0.004125022888183593,0.0008785824082845693,2.0,0.0,1.0,0.0,2.0,0.0
8,4,3,2,2,10,0.8453703703703703,0.11946136215862778,0.023020108540852863,0.0057145883390712394,4.0,0.0,1.0666666666666667,0.25819888974716115,4.066666666666666,0.2581988897471611
32,1,2,2,2,10,0.812962962962963,0.12985147305999073,0.002906068166097005,0.001336478087087704,1.0,0.0,1.0,0.0,1.0,0.0
32,1,2,1,2,20,0.8453703703703703,0.12476462259920543,0.010320949554443359,0.014353658392335563,1.0,0.0,1.6,0.5070925528371101,1.6,0.5070925528371101
8,1,4,2,5,15,0.7805555555555556,0.14107407963039353,0.012456194559733073,0.018022516123042866,1.0,0.0,1.2666666666666666,0.5936168397046636,1.2666666666666666,0.5936168397046636
32,3,4,1,1,5,0.8694444444444446,0.11852730208853997,0.021514431635538737,0.019076190230493145,3.0,0.0,1.1333333333333333,0.35186577527449836,3.1333333333333333,0.35186577527449836
4,2,4,1,2,10,0.7185185185185186,0.22818552998911626,0.027676979700724285,0.011407263605994382,2.0,0.0,1.8,0.6761234037828133,3.1333333333333333,0.9904304018720249
16,1,1,10,5,20,0.8138888888888889,0.1098389473559403,0.002460956573486328,0.0008752126748873592,1.0,0.0,1.0,0.0,1.0,0.0
8,4,3,5,1,15,0.7166666666666667,0.17361507931972894,0.042722558975219725,0.025350692324889422,4.0,0.0,1.0,0.0,4.0,0.0
8,1,4,5,5,20,0.7814814814814816,0.10346545288747862,0.010233052571614583,0.0026928777365738668,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
8,1,1,10,1,20,0.7805555555555554,0.22616784904924622,0.002127393086751302,0.0009696430410405581,1.0,0.0,1.0,0.0,1.0,0.0
8,1,2,10,2,20,0.7342592592592593,0.20384494862650104,0.008963807423909505,0.014993892907818883,1.0,0.0,1.0,0.0,1.0,0.0
32,4,3,1,5,20,0.9027777777777779,0.09375918532310047,0.025100135803222658,0.01736237115551084,3.933333333333333,0.2581988897471611,1.7333333333333334,0.45773770821706344,4.933333333333334,0.7037315505489967
32,4,2,5,2,20,0.8870370370370371,0.10378457258836025,0.02379020055135091,0.022516528063569092,4.0,0.0,1.0,0.0,4.0,0.0
8,3,3,10,5,20,0.8555555555555555,0.11096220180438426,0.05238019625345866,0.028636582614984557,3.0,0.0,1.0,0.0,3.0,0.0
4,4,4,10,2,10,0.7092592592592593,0.1467485141193515,0.06175522804260254,0.02628574968734918,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,2,5,5,0.826851851851852,0.14094379323426756,0.014626566569010417,0.0033955637284483597,3.933333333333333,0.2581988897471611,1.4,0.5070925528371101,4.6,0.9856107606091623
32,2,4,1,1,10,0.9027777777777779,0.11513066727304767,0.009398667017618816,0.002743686625487801,2.0,0.0,1.0,0.0,2.0,0.0
32,1,2,5,2,10,0.7962962962962963,0.11978387847545255,0.0034327348073323566,0.0010550669144050045,1.0,0.0,1.0,0.0,1.0,0.0
32,3,3,5,2,20,0.8703703703703703,0.1326647700448477,0.027983411153157552,0.025203268051364802,3.0,0.0,1.0,0.0,3.0,0.0
4,1,1,5,2,15,0.7388888888888888,0.27212502313953946,0.0021357218424479167,0.0010605508901721425,1.0,0.0,1.0,0.0,1.0,0.0
32,3,2,1,1,5,0.8768518518518519,0.11583065290695406,0.0076661268870035805,0.003395779181354334,3.0,0.0,1.1333333333333333,0.35186577527449836,3.1333333333333333,0.35186577527449836
16,4,2,1,10,20,0.836111111111111,0.16477096497705812,0.027788352966308594,0.026698431247813494,4.0,0.0,1.4666666666666666,0.5163977794943222,4.666666666666667,0.8997354108424372
32,1,3,10,5,5,0.8435185185185186,0.10062999670827456,0.0038626035054524738,0.0014670122995869182,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,2,5,0.7379629629629629,0.15012732201698198,0.01091467539469401,0.012837032330718588,2.0,0.0,1.0,0.0,2.0,0.0
16,2,3,1,5,5,0.8842592592592593,0.08794555661808828,0.011137835184733073,0.014974594596909875,2.0,0.0,1.6,0.5070925528371101,2.7333333333333334,0.7037315505489968
