number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6802604413818829,0.14402767462818067,0.32410640716552735,0.11840178839600111,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.8804678237831804,0.09476512034696485,0.44127955436706545,0.08592847897691838,2.0,0.0,2.0,0.0,4.0,0.0
4,2,1,10,10,20,0.6281565018375884,0.18109226374077372,0.7222267786661783,0.15374244389749017,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.8714956624875893,0.103635632887045,0.4879029909769694,0.0516643673587712,1.0,0.0,2.0,0.0,2.0,0.0
4,4,3,2,2,5,0.6121441588492519,0.13518439060421727,5.244733762741089,1.061383846957036,4.0,0.0,1.0666666666666667,0.25819888974716115,4.133333333333334,0.5163977794943222
32,2,1,2,10,15,0.9241983060078038,0.027509864006608164,1.6367184162139892,0.8516692700869621,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.7694288456812165,0.10268813600828679,0.6609387397766113,0.2911408952471097,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.6121441588492519,0.13518439060421727,5.214090522130331,1.0640436883467912,4.0,0.0,1.0666666666666667,0.25819888974716115,4.133333333333334,0.5163977794943222
4,2,4,5,1,5,0.597949876832887,0.10683491441050033,6.357123486200968,1.197375266424562,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.9321726101690024,0.024093712601739824,0.9572380542755127,0.33901922538937407,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,5,10,20,0.7880832662238731,0.11164663103579699,1.3261624972025554,0.1878062341874082,4.0,0.0,2.0,0.0,8.0,0.0
8,2,3,10,10,10,0.8561909443189847,0.1081717193206615,0.6570027828216553,0.09446281398292068,2.0,0.0,2.933333333333333,0.2581988897471611,5.4,0.6324555320336759
16,4,4,5,2,10,0.914643000856837,0.0315739053697462,3.271754328409831,0.8210392224071178,4.0,0.0,1.5333333333333334,0.5163977794943222,4.733333333333333,0.8837151016885368
4,2,4,5,5,15,0.6882818380933391,0.15302128085243136,2.559181722005208,0.4898406950132633,2.0,0.0,2.2666666666666666,0.45773770821706344,4.066666666666666,1.1629191512658792
8,1,2,10,5,10,0.7694288456812165,0.10268813600828679,0.6549777666727702,0.29862982388981557,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.619776191882048,0.13107463744712733,1.7376295407613118,0.25124824518447275,4.0,0.0,2.0,0.0,8.0,0.0
4,3,4,5,2,15,0.5711636445512013,0.10067607262507833,8.945499881108601,1.7675064118316073,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.8847965256620908,0.12084079908678876,0.366450039545695,0.07022670927081595,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.6644258032139376,0.13584831290403493,3.57111922899882,0.5560312343493916,2.0,0.0,1.0,0.0,2.0,0.0
