number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7602292768959436,0.07434095553639793,0.045788510640462236,0.03129372579540865,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7846560846560847,0.08557554115183985,0.023565944035847983,0.016343082390735043,2.0,0.0,1.3333333333333333,0.48795003647426666,2.3333333333333335,0.4879500364742666
8,1,2,5,10,15,0.6768959435626102,0.12448374745496356,0.07281635602315267,0.041539318377182256,1.0,0.0,1.6,0.50709255283711,1.6,0.50709255283711
32,2,1,2,10,15,0.7964726631393299,0.08760007989240191,0.22739089330037435,0.13885436532066475,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.7254850088183422,0.12943170857265257,0.09580515225728353,0.05268618394316827,1.0,0.0,1.0,0.0,1.0,0.0
32,4,2,10,1,20,0.7676366843033511,0.046203520761782614,0.20981777509053548,0.03649702735449614,4.0,0.0,1.0,0.0,4.0,0.0
8,2,3,10,10,10,0.7507936507936509,0.1438838348081924,0.17175771395365397,0.10093555614437044,2.0,0.0,1.0666666666666667,0.25819888974716115,2.1333333333333333,0.5163977794943223
16,4,4,5,2,10,0.7523809523809526,0.05842438086315935,0.357003132502238,0.12245730873717973,4.0,0.0,1.0,0.0,4.0,0.0
8,1,2,10,5,10,0.7057319223985892,0.1563717355156265,0.036226050059000654,0.02170743852033504,1.0,0.0,1.0,0.0,1.0,0.0
8,2,1,5,5,10,0.7312169312169312,0.12194570225387993,0.028907092412312825,0.01575171926577502,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,5,2,20,0.7028218694885361,0.0965500603148805,0.17734500567118328,0.06261012735418238,2.0,0.0,1.0,0.0,2.0,0.0
