number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6263816776277836,0.11822409903144054,0.05074914296468099,0.012321571595307525,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.6524402907580477,0.08135397819536015,0.04586006800333659,0.01843055257984028,2.0,0.0,2.0,0.0,3.8666666666666667,0.3518657752744984
4,2,1,10,10,20,0.5847986615899389,0.11582209314757215,0.09992618560791015,0.0170029738526097,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.6145090573439483,0.06875029398761344,0.09557402928670247,0.029876333518479455,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.4668570439598477,0.14514061026720562,0.19028008778889974,0.030544694682208124,4.0,0.0,1.2,0.41403933560541256,4.266666666666667,0.5936168397046636
32,2,1,2,10,15,0.6796123226029767,0.06290078572396782,15.809355751673381,5.26863987107296,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.6735375562478366,0.10624642661300318,0.12269118626912436,0.05448157686988658,1.0,0.0,1.2666666666666666,0.4577377082170635,1.2666666666666666,0.4577377082170635
4,4,3,10,10,10,0.5270335756317064,0.13554626146830326,0.2964585781097412,0.14201923481713888,4.0,0.0,2.066666666666667,0.2581988897471611,6.133333333333334,0.990430401872025
4,2,4,5,1,5,0.5891600323064499,0.08090513793446681,0.22830692927042642,0.0450320405298985,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.6770278066228221,0.09464610112368418,0.6536509990692139,0.5514259936830723,4.0,0.0,1.0,0.0,4.0,0.0
8,2,3,10,10,10,0.6487365870543441,0.06272367421282542,0.11518298784891765,0.04353876024977618,2.0,0.0,2.8,0.4140393356054125,5.266666666666667,0.7988086367179804
16,4,4,5,2,10,0.6554632514134071,0.062141013445881764,0.727930482228597,0.09936507841518193,4.0,0.0,1.8666666666666667,0.3518657752744984,5.666666666666667,1.0465362369445672
4,2,4,5,5,15,0.5402330679589247,0.1185541768841613,0.37282827695210774,0.07209110656351264,2.0,0.0,2.2666666666666666,0.5936168397046637,4.266666666666667,0.5936168397046637
8,1,2,10,5,10,0.6937983154494057,0.08507981023079658,0.057970952987670896,0.015748129792478888,1.0,0.0,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611
4,3,4,5,2,15,0.5038710049613476,0.14506542798314567,0.7670376300811768,0.2369975069097855,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.6784758278527749,0.10807168584954918,0.0533786137898763,0.013888758824323371,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.5729375793238721,0.15492511007150828,0.4249319394429525,0.18407236062676316,2.0,0.0,1.0666666666666667,0.25819888974716115,2.1333333333333333,0.5163977794943223
8,2,2,5,2,20,0.6063516787815854,0.11248767083622209,0.34230480194091795,0.05755999234904303,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.7169435790931118,0.03587296180023214,2.094705518086751,1.651873636147444,4.0,0.0,2.0,0.0,6.666666666666667,1.0465362369445672
4,2,1,10,2,10,0.5476289373485634,0.15764817940105494,0.029257949193318686,0.009202781501682489,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.6883754470981883,0.057070943060772775,0.689328940709432,1.2971754425154727,3.0,0.0,1.2,0.41403933560541256,3.2,0.4140393356054125
8,2,1,2,1,20,0.6100265374408677,0.1396271693398683,0.07613096237182618,0.03483778565868134,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.6647859697703935,0.06924771691870586,49.93572374979655,47.21158309768402,3.0,0.0,2.0,0.0,6.0,0.0
8,1,1,10,5,10,0.6508480443059882,0.13588659435650394,0.02661423683166504,0.006717029172162225,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.6232952578746971,0.0878641832017514,0.05428733825683594,0.00550881678346129,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.5775008653513327,0.08961659143671954,0.38863312403361,0.09662175821544476,2.0,0.0,3.0,0.0,5.666666666666667,0.4879500364742665
