number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.6700047517224994,0.16341739671259115,0.032716894149780275,0.008995776093908472,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.5571157044428605,0.11191711942350022,0.04547684987386068,0.005942355165011238,2.0,0.0,2.0,0.0,3.8666666666666667,0.3518657752744984
4,2,1,10,10,20,0.527328344024709,0.15797447633856795,0.05500434239705403,0.008604643920738566,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.5908687732636415,0.1366222491458134,0.06827332178751627,0.004450419229622566,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.5494911697156887,0.12720363269779741,0.16955809593200682,0.03738488423700615,4.0,0.0,1.8,0.41403933560541256,5.0,0.6546536707079771
32,2,1,2,10,15,0.7423715055040786,0.06930535993886938,6.782761653264363,0.8492110657084977,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.6047537023837807,0.21814607473990008,0.05383459726969401,0.020090203305247863,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
4,4,3,10,10,10,0.545848182466144,0.1465867901946161,0.22062196731567382,0.045598491441761216,4.0,0.0,1.9333333333333333,0.25819888974716115,5.733333333333333,0.7037315505489967
4,2,4,5,1,5,0.510631979092421,0.13681504817336104,0.17239969571431477,0.035577575056344055,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.6885463688920567,0.0667777566195596,1.050219217936198,1.5847080577007095,4.0,0.0,1.0,0.0,4.0,0.0
8,2,3,10,10,10,0.5649619862200048,0.1531363290027326,0.07566126187642415,0.016681296581533885,2.0,0.0,2.7333333333333334,0.4577377082170635,4.933333333333334,0.7037315505489967
16,4,4,5,2,10,0.7310762651461153,0.040938755158004325,0.5220005989074707,0.10562218785935434,4.0,0.0,1.5333333333333334,0.5163977794943222,4.733333333333333,0.7988086367179804
4,2,4,5,5,15,0.570264116575592,0.15914245419356532,0.2301477909088135,0.0707699130453089,2.0,0.0,1.8,0.41403933560541256,3.1333333333333333,0.7432233529572065
8,1,2,10,5,10,0.6603567751643304,0.1784616339101496,0.047500054041544594,0.01039321836196608,1.0,0.0,1.0666666666666667,0.25819888974716115,1.0666666666666667,0.25819888974716115
4,4,2,5,10,20,0.5382355270452205,0.08807564382240463,0.21061695416768392,0.045647134300502774,4.0,0.0,2.0,0.0,7.733333333333333,0.4577377082170635
4,3,4,5,2,15,0.5521283757028589,0.1418136547829436,0.45843960444132487,0.08758163450769087,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.6272194503840975,0.1714621909617323,0.04294273058573405,0.01106928537898109,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.5833254137958345,0.11214157425907345,0.20437393188476563,0.04786611207997578,2.0,0.0,1.3333333333333333,0.48795003647426666,2.4,0.6324555320336759
