number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,1,2,5,2,15,0.7527228327228328,0.015384010582581736,0.09894332885742188,0.02143811542441298,1.0,0.0,1.2666666666666666,0.45773770821706344,1.2666666666666666,0.45773770821706344,0.7288888888888889,0.04252743721008301,0.0120849609375,1,2,2
16,1,4,5,2,20,0.7489316239316239,0.036478931311286086,0.15111236572265624,0.042468723082303504,1.0,0.0,1.2666666666666666,0.4577377082170635,1.2666666666666666,0.4577377082170635,0.6933333333333334,0.09248614311218262,0.015314817428588867,1,1,1
32,1,3,10,5,20,0.7475946275946278,0.02566247296440585,0.14130005836486817,0.03523732305924723,1.0,0.0,1.4666666666666666,0.6399404734221844,1.4666666666666666,0.6399404734221844,0.7288888888888889,0.1011664867401123,0.016443490982055664,1,2,2
32,2,4,5,2,15,0.7463431013431016,0.01922112547144079,0.8301493008931478,0.24137362073174987,2.0,0.0,1.3333333333333333,0.48795003647426666,2.3333333333333335,0.4879500364742666,0.72,0.550029993057251,0.012054443359375,2,2,3
32,3,3,5,2,20,0.7457326007326011,0.023724938307281528,1.3183505853017172,0.33534465702505356,3.0,0.0,1.7333333333333334,0.5936168397046637,3.8666666666666667,0.7432233529572065,0.7244444444444444,1.1901328563690186,0.015479803085327148,3,2,5
32,1,4,5,1,15,0.7400000000000002,0.02802403432463724,0.11274483998616537,0.03492284371459918,1.0,0.0,1.0,0.0,1.0,0.0,0.6933333333333334,0.0658576488494873,0.010855674743652344,1,1,1
32,2,4,2,1,15,0.7392429792429794,0.03339489320394246,0.5594310760498047,0.17372632998559687,2.0,0.0,1.6,0.828078671210825,2.6,0.828078671210825,0.7288888888888889,0.31801509857177734,0.012328386306762695,2,3,5
16,1,1,10,5,20,0.7386324786324787,0.0592913977661585,0.02673924763997396,0.0026810296491341715,1.0,0.0,1.0,0.0,1.0,0.0,0.7422222222222222,0.01779913902282715,0.015276193618774414,1,1,1
32,1,2,5,2,10,0.7347252747252747,0.0706836856197006,0.08039352099100748,0.022365495630845885,1.0,0.0,1.6,0.5070925528371101,1.6,0.5070925528371101,0.7111111111111111,0.056407928466796875,0.008736848831176758,1,2,2
16,1,4,1,1,15,0.7323199023199023,0.048311957780440014,0.06783885955810547,0.01604302700338839,1.0,0.0,3.066666666666667,0.7037315505489967,3.066666666666667,0.7037315505489967,0.7644444444444445,0.02805638313293457,0.012374162673950195,1,3,3
