number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.8358860759493669,0.08590937887223489,0.13109223047892252,0.046945861051561795,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.8113291139240507,0.13615985785069507,0.0674375057220459,0.03784436748421575,2.0,0.0,1.9333333333333333,0.25819888974716115,3.4,0.6324555320336759
4,2,1,10,10,20,0.7059704641350212,0.16219460848188963,0.6438834508260091,0.12724563909647416,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,5,10,15,0.8360970464135021,0.09545407676157482,0.18013469378153482,0.03690624355829187,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
4,4,3,2,2,5,0.5589767932489451,0.13595373399904026,0.4180090109507243,0.07248729204322844,4.0,0.0,1.0666666666666667,0.25819888974716115,4.066666666666666,0.2581988897471611
32,2,1,2,10,15,0.90960970464135,0.0444208793716747,0.19961204528808593,0.09391140327929398,2.0,0.0,1.0,0.0,2.0,0.0
8,1,2,10,5,20,0.8853797468354431,0.04909901801867852,0.2694721062978109,0.12986346075169136,1.0,0.0,1.0,0.0,1.0,0.0
4,4,3,10,10,10,0.54584388185654,0.18096181650570842,1.0209840456644694,0.18813464601317922,4.0,0.0,1.7333333333333334,0.45773770821706344,4.733333333333333,0.45773770821706344
4,2,4,5,1,5,0.5467721518987343,0.11894377605068038,0.5158207734425863,0.1296381796165552,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,1,20,0.8033544303797469,0.08381287656836586,0.5661415259043375,0.1275053933152327,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,5,10,20,0.7881540084388184,0.0780527352314684,1.0397250811258951,0.18811265562998059,4.0,0.0,2.0,0.0,6.4,0.828078671210825
8,2,3,10,10,10,0.8091561181434599,0.08158577129665759,0.42980586687723793,0.11019912559236289,2.0,0.0,2.2,0.4140393356054125,3.533333333333333,0.833809387832792
16,4,4,5,2,10,0.824831223628692,0.0830509422441291,0.8862364451090495,0.20476923714166412,4.0,0.0,1.2666666666666666,0.4577377082170635,4.266666666666667,0.4577377082170635
4,2,4,5,5,15,0.6467616033755275,0.22284803664021988,0.967461347579956,0.1557423889956487,2.0,0.0,1.8666666666666667,0.35186577527449836,2.933333333333333,0.45773770821706333
8,1,2,10,5,10,0.8710864978902954,0.046065484006294705,0.10564044316609701,0.04058117468853706,1.0,0.0,1.0,0.0,1.0,0.0
4,4,2,5,10,20,0.7362341772151899,0.09645356185314488,1.71705002784729,0.2636411580121377,4.0,0.0,2.0,0.0,5.8,0.7745966692414834
4,3,4,5,2,15,0.7130168776371307,0.15833203471615212,2.055860646565755,0.3289149468740538,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,5,5,10,0.8702953586497889,0.040055692672832606,0.09009280204772949,0.01890970522107784,2.0,0.0,1.0,0.0,2.0,0.0
4,2,3,2,2,15,0.6637974683544303,0.17602938974103574,0.9101952870686849,0.1485567160210103,2.0,0.0,1.2,0.41403933560541256,2.2,0.4140393356054125
8,2,2,5,2,20,0.8475949367088608,0.04177207483964616,0.4928660233815511,0.07277134175972803,2.0,0.0,1.0,0.0,2.0,0.0
32,4,2,10,5,20,0.8837447257383968,0.044916546470453296,0.556285826365153,0.1897970673774993,4.0,0.0,1.8666666666666667,0.35186577527449836,5.6,0.9102589898327994
4,2,1,10,2,10,0.5989873417721518,0.1766214543643589,0.11280012130737305,0.007329122333518536,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,5,1,10,0.8560443037974683,0.046871824367293334,0.2575742244720459,0.12278389851231758,3.0,0.0,1.0,0.0,3.0,0.0
8,2,1,2,1,20,0.8336286919831224,0.10463781979889071,0.2716012954711914,0.03152771302638296,2.0,0.0,1.0,0.0,2.0,0.0
32,3,2,2,5,10,0.8735654008438818,0.048540096190562786,0.3131910800933838,0.16050591694730076,3.0,0.0,2.0,0.0,5.733333333333333,0.4577377082170635
16,4,2,2,5,15,0.8425527426160339,0.06359728923677845,0.501273266474406,0.10730168858395371,4.0,0.0,2.0,0.0,7.733333333333333,0.4577377082170635
8,1,1,10,5,10,0.8601582278481014,0.06304416664397626,0.04604698816935222,0.029237095267049838,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.8197468354430381,0.11191625344596903,0.1540427525838216,0.03756931524995121,1.0,0.0,1.0,0.0,1.0,0.0
4,2,3,1,5,20,0.7395358649789029,0.12860321459971638,1.1102657000223795,0.2332704155310384,2.0,0.0,3.0,0.0,5.8,0.4140393356054125
4,2,1,5,2,5,0.6583122362869198,0.19762459936816823,0.04135721524556478,0.013520990049774795,2.0,0.0,1.0,0.0,2.0,0.0
32,4,4,5,5,20,0.8836286919831223,0.04952260342254133,1.2782105445861816,0.567059938428388,4.0,0.0,2.4,0.632455532033676,7.2,1.5212776585113297
8,2,2,5,5,10,0.8250949367088608,0.08639523672405651,0.17806587219238282,0.053192661747096595,2.0,0.0,1.7333333333333334,0.4577377082170635,3.066666666666667,0.7988086367179801
4,2,1,1,5,20,0.648090717299578,0.2079403202737217,1.0249351819356283,0.1459620076951557,2.0,0.0,1.0,0.0,2.0,0.0
8,2,2,1,5,20,0.8023101265822785,0.10451808402737822,0.5663921038309733,0.0886315805225811,2.0,0.0,1.9333333333333333,0.25819888974716115,3.6666666666666665,0.6172133998483678
4,3,4,1,5,20,0.702373417721519,0.1443029547737204,1.7598143259684245,0.7699037461511298,3.0,0.0,3.6666666666666665,0.4879500364742666,9.266666666666667,1.3345232785352157
32,4,4,2,5,5,0.887879746835443,0.05357748743024458,0.5045876185099284,0.2795180055761925,4.0,0.0,3.533333333333333,0.5163977794943223,10.466666666666667,0.7432233529572067
4,3,2,2,1,5,0.7270042194092827,0.0681099189274369,0.31748803456624347,0.1246664485991584,3.0,0.0,1.0,0.0,3.0,0.0
32,4,3,10,2,10,0.8209388185654006,0.062298203153539275,0.5005943775177002,0.17185981856235058,4.0,0.0,1.0,0.0,4.0,0.0
4,2,2,1,5,5,0.7455801687763712,0.12344729827513849,0.11338458061218262,0.03943477475044085,2.0,0.0,2.0,0.0,4.0,0.0
8,2,3,1,5,5,0.8023945147679326,0.06027629199770331,0.13152589797973632,0.04375817898900197,2.0,0.0,2.933333333333333,0.2581988897471611,5.733333333333333,0.5936168397046637
32,2,1,10,1,5,0.8635759493670886,0.047612807629970624,0.017189804712931314,0.02499163898020256,2.0,0.0,1.0,0.0,2.0,0.0
16,1,3,2,5,10,0.8634493670886074,0.09932134821630528,0.11428672472635905,0.06307223819955507,1.0,0.0,2.8,0.4140393356054125,2.8,0.4140393356054125
16,2,3,2,2,10,0.8612447257383966,0.06783651327735955,0.23429991404215494,0.10323101691483484,2.0,0.0,2.466666666666667,0.5163977794943223,4.133333333333334,0.9154754164341268
32,3,4,2,1,20,0.8954535864978903,0.05132646418257426,0.9362890720367432,0.39107486575068595,3.0,0.0,1.7333333333333334,0.45773770821706344,4.0,0.7559289460184544
16,2,4,2,2,15,0.8787447257383967,0.06444191902882347,0.4454429467519124,0.11840959925454952,2.0,0.0,2.3333333333333335,0.4879500364742666,4.133333333333334,0.6399404734221844
32,1,3,10,5,20,0.8954641350210971,0.040547572150655645,0.20425187746683757,0.09227436653834267,1.0,0.0,1.0666666666666667,0.25819888974716115,1.0666666666666667,0.25819888974716115
32,4,3,10,10,15,0.8987447257383966,0.04392173588979946,0.5913746515909831,0.29434213569934686,4.0,0.0,2.2,0.560611910581388,6.8,1.3732131246511903
8,1,1,10,2,15,0.8709915611814346,0.05407625967705518,0.06695302327473958,0.002976967937567448,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.8519303797468354,0.06549530465189192,0.05062173207600911,0.009990570110830462,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.725126582278481,0.13881063946860803,0.44879765510559083,0.12536674345312473,3.0,0.0,2.7333333333333334,0.7988086367179803,5.066666666666666,1.0997835284835875
16,1,1,2,5,20,0.8836919831223629,0.060970611438738644,0.13339912096659343,0.02864128279032446,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.8811181434599156,0.06099932495707339,0.27224388122558596,0.07330575468057078,2.0,0.0,1.0,0.0,2.0,0.0
4,3,2,5,10,15,0.738217299578059,0.11641950988292481,0.9395891507466634,0.173118070682417,3.0,0.0,2.0,0.0,4.666666666666667,0.8997354108424372
32,2,4,5,2,15,0.9054852320675104,0.04593502512730626,0.5708823204040527,0.20182321766891032,2.0,0.0,1.4666666666666666,0.5163977794943222,2.466666666666667,0.5163977794943223
8,3,4,5,5,20,0.8068565400843881,0.10316072022360681,1.4283383369445801,0.3939704902806014,3.0,0.0,2.4,0.5070925528371101,6.133333333333334,0.8338093878327917
8,3,3,1,5,10,0.7605485232067509,0.07948839194999392,0.4751927216847738,0.12101335506622184,3.0,0.0,2.8666666666666667,0.35186577527449836,6.933333333333334,1.3870146083619754
32,3,3,2,10,15,0.8787447257383965,0.05184804573079101,0.578851826985677,0.17186530611185438,3.0,0.0,2.933333333333333,0.2581988897471611,7.133333333333334,1.0600988273786194
