max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
