max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,2,0.831305114638448,0.0662958716820263,0.0007747173309326172,3.0,0.0,1.0,0.0,0.864406779661017,3.0,1.0,0.001123189926147461,0.0,1.0,1.0,1.0,True
1,3,0.831305114638448,0.0662958716820263,0.0009366671244303385,3.0,0.0,1.0,0.0,,,,,,,,,False
1,4,0.831305114638448,0.0662958716820263,0.0008591016133626302,3.0,0.0,1.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.831305114638448,0.0662958716820263,0.0009943803151448568,3.0,0.0,1.0,0.0,,,,,,,,,False
2,3,0.8117283950617283,0.05561361429745105,0.0009585698445638021,5.0,0.0,2.0,0.0,,,,,,,,,False
2,4,0.804320987654321,0.05553133482826699,0.0007879734039306641,6.866666666666666,0.49888765156985887,2.0,0.0,,,,,,,,,False
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.831305114638448,0.0662958716820263,0.0009163061777750652,3.0,0.0,1.0,0.0,,,,,,,,,False
3,3,0.8117283950617283,0.05561361429745105,0.0008124510447184244,5.0,0.0,2.0,0.0,,,,,,,,,False
3,4,0.8067901234567901,0.06430706104863307,0.0009758631388346354,7.0,0.0,2.533333333333333,0.498887651569859,,,,,,,,,False
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.831305114638448,0.0662958716820263,0.0012203534444173178,3.0,0.0,1.0,0.0,,,,,,,,,False
4,3,0.8117283950617283,0.05561361429745105,0.0006767431894938151,5.0,0.0,2.0,0.0,,,,,,,,,False
4,4,0.8067901234567901,0.06430706104863307,0.0011434078216552735,7.0,0.0,2.533333333333333,0.498887651569859,,,,,,,,,False
