max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,2,0.7299700011538017,0.0338212228404494,0.0010088125864664713,3.0,0.0,1.0,0.0,,,,,,,,,False
1,3,0.7299700011538017,0.0338212228404494,0.0005949020385742187,3.0,0.0,1.0,0.0,,,,,,,,,False
1,4,0.7299700011538017,0.0338212228404494,0.0007683912913004558,3.0,0.0,1.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.7299700011538017,0.0338212228404494,0.0008301734924316406,3.0,0.0,1.0,0.0,,,,,,,,,False
2,3,0.7281296873197186,0.03096514322914547,0.0012112299601236979,5.0,0.0,2.0,0.0,,,,,,,,,False
2,4,0.7237856236298604,0.02613440235815396,0.0008156140645345052,7.0,0.0,2.0,0.0,,,,,,,,,False
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.7299700011538017,0.0338212228404494,0.0010033289591471354,3.0,0.0,1.0,0.0,,,,,,,,,False
3,3,0.7281296873197186,0.03096514322914547,0.0009596347808837891,5.0,0.0,2.0,0.0,,,,,,,,,False
3,4,0.7380754586362064,0.032242920980109994,0.0008425553639729818,7.0,0.0,2.533333333333333,0.498887651569859,0.6753246753246753,7.0,3.0,0.0014355182647705078,0.0,2.0,3.0,4.0,True
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.7299700011538017,0.0338212228404494,0.0005731741587320963,3.0,0.0,1.0,0.0,,,,,,,,,False
4,3,0.7281296873197186,0.03096514322914547,0.0012149175008138021,5.0,0.0,2.0,0.0,,,,,,,,,False
4,4,0.7380754586362064,0.032242920980109994,0.0008502324422200521,7.0,0.0,2.533333333333333,0.498887651569859,,,,,,,,,False
