max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,2,0.9488175875465202,0.0018519203788482008,0.06408724784851075,3.0,0.0,1.0,0.0,,,,,,,,,False
1,3,0.9488175875465202,0.0018519203788482008,0.06632585525512695,3.0,0.0,1.0,0.0,,,,,,,,,False
1,4,0.9488175875465202,0.0018519203788482008,0.061712423960367836,3.0,0.0,1.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.9488175875465202,0.0018519203788482008,0.11450095176696777,3.0,0.0,1.0,0.0,,,,,,,,,False
2,3,0.9513986106858803,0.0024357396267267015,0.11509048144022624,5.0,0.0,2.0,0.0,0.9532666666666667,5.0,2.0,0.12525629997253418,0.00439453125,2.0,2.0,3.0,True
2,4,0.9513986106858803,0.0024357396267267015,0.1135569413503011,7.0,0.0,2.0,0.0,,,,,,,,,False
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.9488175875465202,0.0018519203788482008,0.1136996587117513,3.0,0.0,1.0,0.0,,,,,,,,,False
3,3,0.9513986106858803,0.0024357396267267015,0.13594282468159993,5.0,0.0,2.0,0.0,,,,,,,,,False
3,4,0.9513986106858803,0.0024357396267267015,0.1587167739868164,7.0,0.0,2.0,0.0,,,,,,,,,False
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.9488175875465202,0.0018519203788482008,0.11049938201904297,3.0,0.0,1.0,0.0,,,,,,,,,False
4,3,0.9513986106858803,0.0024357396267267015,0.13436880111694335,5.0,0.0,2.0,0.0,,,,,,,,,False
4,4,0.9513986106858803,0.0024357396267267015,0.15890405972798666,7.0,0.0,2.0,0.0,,,,,,,,,False
